stress_axis,stress_level,method,task_success,task_success_ci95,correction_efficiency,correction_efficiency_ci95,damage,damage_ci95,intervention_magnitude,intervention_magnitude_ci95,boundary_error,boundary_error_ci95,intent_preservation,intent_preservation_ci95,unsafe_override,unsafe_override_ci95,robust_utility,robust_utility_ci95
human_noise,0.2,active_entropy_query_policy,0.41500,0.02950,0.55053,0.04487,0.05500,0.01600,0.41611,0.00607,0.28184,0.00829,0.51885,0.00736,0.10333,0.01505,0.55900,0.03859
human_noise,0.2,robust_mpc_correction,0.57083,0.03420,0.81230,0.05254,0.05000,0.01033,0.56925,0.00803,0.10347,0.00542,0.50778,0.00713,0.02667,0.00635,0.78272,0.04370
human_noise,0.2,minimum_intervention_boundary_learner_v5,0.48500,0.02320,0.66941,0.03502,0.04833,0.00762,0.48527,0.00700,0.17925,0.00625,0.52242,0.00725,0.01583,0.00749,0.67786,0.02904
human_noise,0.2,oracle_minimal_correction,0.59000,0.01648,0.81150,0.02383,0.04833,0.01351,0.51299,0.00966,0.12134,0.01177,0.52826,0.00724,0.00417,0.00365,0.81611,0.02152
human_noise,0.4,full_demo_imitation,0.30250,0.01918,0.30484,0.03069,0.06833,0.01666,0.51501,0.01155,0.54668,0.02638,0.56100,0.00895,0.14250,0.02416,0.35573,0.02742
human_noise,0.4,residual_correction_learner,0.29417,0.03757,0.33040,0.04127,0.04583,0.00886,0.35982,0.01407,0.54855,0.02166,0.53332,0.00782,0.14333,0.02189,0.38926,0.04921
human_noise,0.4,uncertainty_query_policy,0.37333,0.01701,0.42276,0.02277,0.05833,0.01669,0.46852,0.01400,0.38885,0.02403,0.53995,0.00907,0.13083,0.01560,0.47779,0.02450
human_noise,0.4,active_entropy_query_policy,0.39417,0.02205,0.52706,0.03244,0.05500,0.01673,0.42182,0.01486,0.29391,0.01721,0.51760,0.00613,0.10250,0.01634,0.53278,0.03186
human_noise,0.4,robust_mpc_correction,0.56667,0.02797,0.79414,0.04306,0.05334,0.01246,0.56537,0.00857,0.10751,0.00359,0.50630,0.00650,0.02833,0.00815,0.77276,0.03882
human_noise,0.4,minimum_intervention_boundary_learner_v5,0.48000,0.03043,0.65707,0.04518,0.05167,0.00800,0.48529,0.01078,0.18938,0.01043,0.52094,0.00686,0.01750,0.00708,0.66797,0.03858
human_noise,0.4,oracle_minimal_correction,0.59167,0.02297,0.80511,0.04139,0.04667,0.01173,0.51948,0.00585,0.11967,0.01073,0.52653,0.00686,0.00667,0.00407,0.81610,0.03218
human_noise,0.6,full_demo_imitation,0.29750,0.02554,0.27666,0.02418,0.08167,0.01497,0.60358,0.01293,0.59564,0.02164,0.55774,0.00749,0.15500,0.02746,0.32725,0.03533
human_noise,0.6,residual_correction_learner,0.28500,0.02753,0.31579,0.03585,0.05333,0.01270,0.36223,0.00977,0.57097,0.02139,0.52754,0.00725,0.14917,0.01586,0.37055,0.03687
human_noise,0.6,uncertainty_query_policy,0.36750,0.01641,0.39443,0.01918,0.06250,0.01040,0.51296,0.01161,0.42257,0.01655,0.53549,0.00783,0.14583,0.01674,0.45530,0.02036
human_noise,0.6,active_entropy_query_policy,0.40333,0.01825,0.52980,0.03530,0.05333,0.01544,0.42215,0.01256,0.31090,0.01512,0.51370,0.00749,0.10500,0.01485,0.54225,0.02579
human_noise,0.6,robust_mpc_correction,0.55583,0.02983,0.77813,0.04734,0.05083,0.01046,0.55660,0.00972,0.11656,0.00647,0.50184,0.00794,0.03167,0.00800,0.75892,0.03781
human_noise,0.6,minimum_intervention_boundary_learner_v5,0.47167,0.03186,0.62809,0.04062,0.05167,0.00680,0.48130,0.01122,0.21185,0.01360,0.51712,0.00766,0.01583,0.00708,0.65365,0.03925
human_noise,0.6,oracle_minimal_correction,0.58000,0.01424,0.77963,0.01952,0.04833,0.01307,0.51656,0.00835,0.12688,0.00894,0.52243,0.00775,0.00917,0.00618,0.79691,0.01651
human_noise,0.8,full_demo_imitation,0.31750,0.02547,0.27238,0.02365,0.12167,0.01708,0.70602,0.01227,0.65708,0.02642,0.55083,0.00574,0.17833,0.02862,0.31068,0.03430
human_noise,0.8,residual_correction_learner,0.29750,0.03881,0.33730,0.05045,0.06000,0.01260,0.37896,0.01242,0.59816,0.02023,0.52461,0.00914,0.13500,0.01351,0.38605,0.04937
human_noise,0.8,uncertainty_query_policy,0.34667,0.01936,0.36475,0.02413,0.08500,0.01260,0.56438,0.00758,0.46410,0.02383,0.53377,0.00847,0.16000,0.01945,0.40730,0.02443
human_noise,0.8,active_entropy_query_policy,0.39083,0.02058,0.52977,0.02967,0.05750,0.01529,0.41227,0.00838,0.32126,0.01422,0.51604,0.01013,0.11167,0.01382,0.52626,0.03192
human_noise,0.8,robust_mpc_correction,0.54333,0.02930,0.77936,0.04170,0.05000,0.01311,0.53373,0.01077,0.13134,0.00630,0.50294,0.00938,0.03000,0.00697,0.74896,0.03554
human_noise,0.8,minimum_intervention_boundary_learner_v5,0.45500,0.02111,0.62661,0.02895,0.05000,0.00878,0.46314,0.01058,0.22613,0.00962,0.51903,0.00935,0.01667,0.00878,0.63843,0.03001
human_noise,0.8,oracle_minimal_correction,0.58750,0.01743,0.80618,0.03236,0.04583,0.01174,0.50563,0.00731,0.12829,0.00719,0.52362,0.00903,0.00583,0.00249,0.81295,0.02722
human_noise,1.0,full_demo_imitation,0.27583,0.02792,0.22474,0.02988,0.15000,0.02052,0.81580,0.01579,0.73183,0.01795,0.55886,0.00716,0.20417,0.03024,0.23175,0.03571
human_noise,1.0,residual_correction_learner,0.28417,0.02341,0.31692,0.03292,0.06000,0.00968,0.38956,0.01007,0.62257,0.01024,0.52917,0.00932,0.14750,0.01773,0.36505,0.03153
human_noise,1.0,uncertainty_query_policy,0.34917,0.02143,0.34032,0.02241,0.09416,0.02081,0.62880,0.00906,0.51308,0.01779,0.54261,0.00683,0.15833,0.01886,0.39738,0.02956
human_noise,1.0,active_entropy_query_policy,0.40833,0.02178,0.53292,0.03404,0.05333,0.01485,0.41915,0.00729,0.33391,0.01306,0.52524,0.00870,0.10500,0.01637,0.54964,0.03058
human_noise,1.0,robust_mpc_correction,0.53833,0.02363,0.74959,0.03949,0.05250,0.01169,0.53265,0.01024,0.14842,0.00561,0.50769,0.00848,0.02833,0.00739,0.73783,0.03170
human_noise,1.0,minimum_intervention_boundary_learner_v5,0.46583,0.02524,0.62859,0.02868,0.04667,0.00949,0.46821,0.00766,0.23808,0.01038,0.52435,0.00877,0.01667,0.00808,0.65226,0.02993
human_noise,1.0,oracle_minimal_correction,0.59500,0.01690,0.81846,0.02845,0.05167,0.01056,0.51747,0.00845,0.11866,0.00714,0.52653,0.00857,0.00750,0.00381,0.81957,0.02291
correction_delay,0.0,full_demo_imitation,0.33083,0.02109,0.33001,0.01972,0.06250,0.01601,0.49178,0.01309,0.54453,0.02022,0.58607,0.00903,0.13083,0.01670,0.40100,0.02831
correction_delay,0.0,residual_correction_learner,0.29750,0.02777,0.34331,0.03160,0.04500,0.00918,0.33979,0.01337,0.54980,0.02010,0.55955,0.00866,0.14167,0.01461,0.40144,0.03674
correction_delay,0.0,uncertainty_query_policy,0.36417,0.02777,0.42562,0.03750,0.05417,0.01638,0.45336,0.01186,0.38936,0.01388,0.56166,0.00863,0.13083,0.02495,0.47553,0.03649
correction_delay,0.0,active_entropy_query_policy,0.40500,0.03287,0.53275,0.04612,0.05583,0.01502,0.41759,0.01088,0.29043,0.01085,0.54167,0.00836,0.10333,0.01582,0.54763,0.04666
correction_delay,0.0,robust_mpc_correction,0.56833,0.02709,0.79923,0.04378,0.05000,0.01089,0.56663,0.00990,0.10320,0.00319,0.53126,0.00836,0.02750,0.00845,0.78057,0.03676
correction_delay,0.0,minimum_intervention_boundary_learner_v5,0.46750,0.02197,0.63931,0.04255,0.04917,0.00824,0.47986,0.00928,0.18990,0.00783,0.54622,0.00839,0.01250,0.00699,0.65793,0.03103
correction_delay,0.0,oracle_minimal_correction,0.58750,0.01810,0.80553,0.03549,0.04583,0.01383,0.51808,0.00759,0.11654,0.00547,0.55169,0.00862,0.00667,0.00407,0.81570,0.02882
correction_delay,0.2,full_demo_imitation,0.32583,0.02536,0.33361,0.03287,0.06250,0.01068,0.48827,0.01473,0.55307,0.02191,0.57674,0.00917,0.14333,0.02563,0.39256,0.03298
correction_delay,0.2,residual_correction_learner,0.31250,0.03437,0.34587,0.04265,0.04750,0.00845,0.34527,0.01272,0.55296,0.01750,0.54702,0.00979,0.13417,0.01510,0.41579,0.04490
correction_delay,0.2,uncertainty_query_policy,0.37333,0.02189,0.42883,0.02370,0.05417,0.01404,0.45090,0.01247,0.39418,0.01418,0.54994,0.00982,0.13583,0.01740,0.48294,0.02980
correction_delay,0.2,active_entropy_query_policy,0.40167,0.02563,0.52704,0.03045,0.05333,0.01563,0.41818,0.01008,0.29450,0.00824,0.53061,0.00744,0.10416,0.01096,0.54285,0.03662
correction_delay,0.2,robust_mpc_correction,0.56583,0.03325,0.79097,0.05061,0.04750,0.00945,0.57171,0.01004,0.10578,0.00340,0.51957,0.00699,0.02833,0.00918,0.77567,0.04554
correction_delay,0.2,minimum_intervention_boundary_learner_v5,0.47667,0.02795,0.64243,0.03806,0.04750,0.00845,0.48529,0.00830,0.19294,0.00780,0.53440,0.00700,0.00917,0.00452,0.66784,0.03477
correction_delay,0.2,oracle_minimal_correction,0.58916,0.01757,0.80218,0.03090,0.04500,0.01222,0.52245,0.00994,0.12176,0.00968,0.54019,0.00657,0.00667,0.00407,0.81550,0.02471
correction_delay,0.4,full_demo_imitation,0.30750,0.02488,0.31586,0.02641,0.06833,0.00836,0.50113,0.00992,0.54394,0.02607,0.56280,0.00605,0.14083,0.02391,0.36481,0.03545
correction_delay,0.4,residual_correction_learner,0.28917,0.02850,0.32728,0.03575,0.04917,0.01204,0.34415,0.00869,0.55041,0.01611,0.53433,0.00728,0.13667,0.01360,0.38509,0.03427
correction_delay,0.4,uncertainty_query_policy,0.36083,0.02723,0.41586,0.03380,0.05667,0.01395,0.45656,0.00604,0.38626,0.01391,0.53772,0.00466,0.13750,0.02154,0.46336,0.04027
correction_delay,0.4,active_entropy_query_policy,0.39583,0.01890,0.52682,0.03199,0.05500,0.01600,0.41244,0.00553,0.29806,0.01068,0.52033,0.00657,0.11000,0.01477,0.53329,0.02781
correction_delay,0.4,robust_mpc_correction,0.57583,0.02639,0.81223,0.04387,0.04833,0.00800,0.56048,0.00885,0.10333,0.00508,0.50874,0.00648,0.02917,0.00740,0.78869,0.03657
correction_delay,0.4,minimum_intervention_boundary_learner_v5,0.48333,0.02361,0.65136,0.03206,0.04750,0.00945,0.47790,0.00703,0.19545,0.00688,0.52389,0.00649,0.01500,0.00871,0.67374,0.02984
correction_delay,0.4,oracle_minimal_correction,0.58250,0.01510,0.79333,0.02271,0.04833,0.01351,0.51192,0.00825,0.12214,0.00824,0.52909,0.00642,0.00667,0.00407,0.80405,0.02296
correction_delay,0.6,full_demo_imitation,0.33833,0.02831,0.34493,0.03222,0.06667,0.01288,0.52702,0.01910,0.54918,0.02827,0.55854,0.00636,0.14083,0.02926,0.40034,0.03565
correction_delay,0.6,residual_correction_learner,0.30583,0.03435,0.34216,0.04134,0.04667,0.01039,0.35735,0.01449,0.55200,0.02557,0.53123,0.00629,0.14333,0.01083,0.40289,0.04161
correction_delay,0.6,uncertainty_query_policy,0.36417,0.01482,0.41681,0.02155,0.06333,0.01600,0.47050,0.01412,0.39027,0.01735,0.53831,0.00654,0.13750,0.01842,0.46239,0.02083
correction_delay,0.6,active_entropy_query_policy,0.39833,0.02457,0.53031,0.03904,0.05250,0.01441,0.41782,0.01052,0.29188,0.01248,0.51850,0.00732,0.10917,0.01429,0.53743,0.03357
correction_delay,0.6,robust_mpc_correction,0.57000,0.02485,0.81892,0.03703,0.05250,0.00945,0.56162,0.00714,0.11060,0.00589,0.50651,0.00660,0.03167,0.00836,0.78117,0.03124
correction_delay,0.6,minimum_intervention_boundary_learner_v5,0.47333,0.02698,0.65172,0.03698,0.04917,0.00957,0.48200,0.00772,0.19339,0.01178,0.52209,0.00701,0.01583,0.00708,0.66217,0.03448
correction_delay,0.6,oracle_minimal_correction,0.59833,0.02005,0.82004,0.02991,0.04583,0.01383,0.51346,0.00653,0.12269,0.00589,0.52727,0.00633,0.00167,0.00218,0.82819,0.02699
correction_delay,0.8,full_demo_imitation,0.30000,0.03312,0.29500,0.03467,0.08167,0.01517,0.53926,0.01880,0.57532,0.01485,0.54569,0.00466,0.15667,0.03029,0.33615,0.03173
correction_delay,0.8,residual_correction_learner,0.29250,0.03351,0.33422,0.03559,0.05334,0.01198,0.35008,0.01007,0.56995,0.01099,0.51312,0.00796,0.14417,0.01871,0.38228,0.04370
correction_delay,0.8,uncertainty_query_policy,0.36250,0.01691,0.40790,0.02042,0.06000,0.01630,0.47709,0.01120,0.40563,0.01218,0.52340,0.00560,0.14167,0.01756,0.45673,0.02124
correction_delay,0.8,active_entropy_query_policy,0.40667,0.02148,0.53930,0.02897,0.05500,0.01776,0.41431,0.00818,0.30080,0.01237,0.50403,0.00488,0.10250,0.01502,0.54671,0.03448
correction_delay,0.8,robust_mpc_correction,0.56667,0.03545,0.80372,0.05376,0.04917,0.01101,0.56178,0.00817,0.10966,0.00459,0.49234,0.00475,0.02750,0.00913,0.77563,0.04818
correction_delay,0.8,minimum_intervention_boundary_learner_v5,0.47667,0.02990,0.65063,0.03663,0.05000,0.00808,0.48265,0.00886,0.19520,0.00934,0.50751,0.00474,0.01417,0.00547,0.66342,0.03848
correction_delay,0.8,oracle_minimal_correction,0.59333,0.02120,0.81177,0.02858,0.05000,0.01168,0.51704,0.00658,0.11750,0.00705,0.51345,0.00459,0.00667,0.00407,0.81584,0.02990
correction_delay,1.0,full_demo_imitation,0.29833,0.02333,0.28365,0.02759,0.08500,0.01394,0.57460,0.02066,0.58321,0.01786,0.52750,0.00818,0.14750,0.02943,0.32806,0.03040
correction_delay,1.0,residual_correction_learner,0.28833,0.02821,0.31650,0.03944,0.05417,0.01122,0.37336,0.01710,0.55403,0.02562,0.49759,0.00863,0.13750,0.01583,0.37212,0.03868
correction_delay,1.0,uncertainty_query_policy,0.37167,0.02401,0.40831,0.02420,0.06500,0.01701,0.49981,0.01367,0.41275,0.01107,0.50491,0.00741,0.14167,0.02023,0.45940,0.03056
correction_delay,1.0,active_entropy_query_policy,0.41750,0.02802,0.55922,0.03911,0.05750,0.01568,0.42396,0.01018,0.30405,0.01023,0.48956,0.00921,0.10333,0.01485,0.55793,0.04003
correction_delay,1.0,robust_mpc_correction,0.55083,0.02865,0.77431,0.04815,0.05334,0.00885,0.55829,0.00802,0.11728,0.00767,0.47517,0.00902,0.02583,0.00381,0.74977,0.03920
correction_delay,1.0,minimum_intervention_boundary_learner_v5,0.47000,0.03278,0.64869,0.04567,0.05167,0.01027,0.48401,0.00854,0.20377,0.01065,0.48984,0.00889,0.01417,0.00599,0.65321,0.04020
correction_delay,1.0,oracle_minimal_correction,0.57500,0.01669,0.78886,0.01785,0.05000,0.01289,0.51804,0.00540,0.12083,0.00927,0.49441,0.00881,0.01000,0.00586,0.78906,0.02075
overcorrection_bias,0.0,full_demo_imitation,0.24750,0.03042,0.22441,0.03121,0.07084,0.01486,0.44633,0.00868,0.63188,0.02161,0.56034,0.01020,0.12000,0.02449,0.29271,0.03619
overcorrection_bias,0.0,residual_correction_learner,0.23500,0.03116,0.24390,0.03518,0.04750,0.01117,0.28830,0.00545,0.64167,0.01530,0.53366,0.00580,0.12250,0.01806,0.32140,0.04035
overcorrection_bias,0.0,uncertainty_query_policy,0.32333,0.02106,0.34874,0.02030,0.05750,0.01408,0.40933,0.00630,0.45267,0.01392,0.53345,0.00881,0.12000,0.01825,0.41842,0.02570
overcorrection_bias,0.0,active_entropy_query_policy,0.35750,0.02416,0.46446,0.03126,0.05417,0.01601,0.37532,0.00944,0.33568,0.01152,0.52018,0.00644,0.09833,0.01683,0.48775,0.03396
overcorrection_bias,0.0,robust_mpc_correction,0.56333,0.02768,0.81395,0.05488,0.04917,0.01046,0.56017,0.01191,0.11066,0.00561,0.50627,0.00586,0.02167,0.00555,0.77798,0.03875
overcorrection_bias,0.0,minimum_intervention_boundary_learner_v5,0.47333,0.02899,0.65300,0.04878,0.04750,0.00772,0.46518,0.01170,0.20565,0.01408,0.52196,0.00603,0.00750,0.00381,0.66688,0.03941
overcorrection_bias,0.0,oracle_minimal_correction,0.59667,0.01889,0.82850,0.02654,0.04750,0.01063,0.51465,0.01051,0.11710,0.00965,0.52639,0.00586,0.00500,0.00361,0.82633,0.02333
overcorrection_bias,0.2,full_demo_imitation,0.28833,0.01966,0.26754,0.01807,0.06333,0.01121,0.46755,0.01153,0.58970,0.02213,0.55710,0.00470,0.12750,0.02612,0.34305,0.02601
overcorrection_bias,0.2,residual_correction_learner,0.24500,0.01759,0.26450,0.02138,0.04167,0.00878,0.30813,0.00932,0.60190,0.01551,0.53531,0.00645,0.12750,0.01616,0.33643,0.02306
overcorrection_bias,0.2,uncertainty_query_policy,0.33000,0.02248,0.36495,0.02064,0.05250,0.01169,0.42862,0.01096,0.42101,0.01653,0.53569,0.00579,0.12667,0.01497,0.42841,0.02976
overcorrection_bias,0.2,active_entropy_query_policy,0.36583,0.02683,0.48553,0.04271,0.05583,0.01773,0.38647,0.01056,0.32573,0.01135,0.52090,0.00619,0.10750,0.01490,0.49655,0.04267
overcorrection_bias,0.2,robust_mpc_correction,0.56417,0.02690,0.79436,0.03586,0.05167,0.01137,0.56082,0.00990,0.10659,0.00415,0.50796,0.00681,0.02833,0.00815,0.77150,0.03266
overcorrection_bias,0.2,minimum_intervention_boundary_learner_v5,0.45917,0.03113,0.62651,0.04850,0.04833,0.00871,0.46720,0.00932,0.20691,0.00467,0.52398,0.00667,0.01333,0.00361,0.64495,0.03942
overcorrection_bias,0.2,oracle_minimal_correction,0.58250,0.01924,0.78873,0.02696,0.04917,0.01204,0.51314,0.00787,0.12594,0.00424,0.52863,0.00714,0.00583,0.00425,0.80279,0.02550
overcorrection_bias,0.4,full_demo_imitation,0.29750,0.03339,0.27874,0.02362,0.06750,0.01179,0.50424,0.00917,0.54992,0.02013,0.56249,0.00769,0.14583,0.02965,0.34531,0.03860
overcorrection_bias,0.4,residual_correction_learner,0.26917,0.02744,0.30937,0.03003,0.04917,0.01046,0.33667,0.00877,0.55796,0.01589,0.53423,0.01044,0.13083,0.01652,0.36323,0.03725
overcorrection_bias,0.4,uncertainty_query_policy,0.36500,0.02049,0.41843,0.02152,0.05333,0.01655,0.45695,0.00817,0.39735,0.01592,0.53907,0.00603,0.11917,0.01949,0.47498,0.02788
overcorrection_bias,0.4,active_entropy_query_policy,0.38833,0.02401,0.51607,0.02823,0.05667,0.01630,0.41163,0.00747,0.29592,0.00740,0.52193,0.00595,0.10333,0.01121,0.52467,0.02794
overcorrection_bias,0.4,robust_mpc_correction,0.57583,0.02855,0.81985,0.03913,0.05167,0.00998,0.56342,0.00595,0.10732,0.00274,0.51033,0.00665,0.02917,0.00609,0.78865,0.03655
overcorrection_bias,0.4,minimum_intervention_boundary_learner_v5,0.48500,0.03610,0.66600,0.04925,0.04833,0.00998,0.48220,0.00666,0.18831,0.00422,0.52542,0.00646,0.01250,0.00609,0.67872,0.04493
overcorrection_bias,0.4,oracle_minimal_correction,0.61667,0.01633,0.84814,0.02903,0.04667,0.01094,0.51581,0.00575,0.11541,0.00648,0.53094,0.00631,0.00417,0.00439,0.85184,0.02272
overcorrection_bias,0.6,full_demo_imitation,0.32250,0.02600,0.32445,0.02725,0.06667,0.01265,0.51375,0.01048,0.54812,0.01670,0.56343,0.00662,0.14667,0.02437,0.38012,0.03518
overcorrection_bias,0.6,residual_correction_learner,0.28333,0.02373,0.32620,0.02957,0.05000,0.01033,0.35000,0.00845,0.55613,0.01841,0.53829,0.00693,0.15000,0.01978,0.37483,0.02783
overcorrection_bias,0.6,uncertainty_query_policy,0.38917,0.02589,0.44811,0.02861,0.06000,0.01056,0.46575,0.00628,0.38724,0.00982,0.53864,0.00709,0.14333,0.01517,0.49482,0.03439
overcorrection_bias,0.6,active_entropy_query_policy,0.41833,0.03097,0.55633,0.04787,0.05917,0.01659,0.42042,0.00791,0.28840,0.00874,0.51925,0.00726,0.10750,0.01970,0.56008,0.04790
overcorrection_bias,0.6,robust_mpc_correction,0.57000,0.03148,0.81063,0.04236,0.05417,0.01011,0.56441,0.01266,0.10648,0.00477,0.50856,0.00704,0.03167,0.00871,0.77857,0.04053
overcorrection_bias,0.6,minimum_intervention_boundary_learner_v5,0.48000,0.03072,0.65314,0.04650,0.04917,0.00988,0.48573,0.00933,0.18783,0.01009,0.52310,0.00691,0.01417,0.00733,0.66950,0.04088
overcorrection_bias,0.6,oracle_minimal_correction,0.58750,0.02965,0.80173,0.05339,0.04833,0.01307,0.51506,0.01159,0.12212,0.01238,0.52909,0.00663,0.00833,0.00487,0.81037,0.04186
overcorrection_bias,0.8,full_demo_imitation,0.34333,0.02469,0.35346,0.02926,0.06917,0.00945,0.55594,0.01678,0.52943,0.02109,0.56200,0.00800,0.14667,0.02735,0.40288,0.03026
overcorrection_bias,0.8,residual_correction_learner,0.32833,0.03702,0.37238,0.04212,0.04667,0.01147,0.39046,0.01368,0.52174,0.01784,0.52511,0.00715,0.15250,0.01502,0.42630,0.04380
overcorrection_bias,0.8,uncertainty_query_policy,0.39917,0.02224,0.46555,0.02690,0.06500,0.01752,0.49936,0.01348,0.36604,0.01608,0.53700,0.00732,0.14500,0.01841,0.50291,0.03236
overcorrection_bias,0.8,active_entropy_query_policy,0.43167,0.02358,0.57617,0.03818,0.05500,0.01505,0.44533,0.01188,0.26988,0.01024,0.51388,0.00703,0.11833,0.01752,0.57440,0.03539
overcorrection_bias,0.8,robust_mpc_correction,0.56750,0.02996,0.79395,0.04713,0.05334,0.00885,0.57074,0.00673,0.10295,0.00435,0.50367,0.00680,0.03333,0.00974,0.77149,0.03920
overcorrection_bias,0.8,minimum_intervention_boundary_learner_v5,0.49583,0.03613,0.66264,0.05636,0.05167,0.01056,0.49795,0.00745,0.17924,0.00891,0.51825,0.00671,0.01500,0.00680,0.68452,0.04852
overcorrection_bias,0.8,oracle_minimal_correction,0.59833,0.02161,0.79849,0.03156,0.04917,0.01276,0.52107,0.00773,0.11839,0.00691,0.52459,0.00666,0.00333,0.00267,0.82061,0.02937
overcorrection_bias,1.0,full_demo_imitation,0.35167,0.01536,0.36045,0.01932,0.08500,0.01718,0.57499,0.01315,0.51720,0.01583,0.55784,0.00696,0.16333,0.02300,0.39739,0.02379
overcorrection_bias,1.0,residual_correction_learner,0.33250,0.03026,0.39352,0.03941,0.04917,0.01128,0.39766,0.01011,0.51997,0.01161,0.52986,0.00437,0.15000,0.01651,0.43436,0.04170
overcorrection_bias,1.0,uncertainty_query_policy,0.40416,0.02261,0.47311,0.02527,0.06167,0.01563,0.51066,0.01043,0.36160,0.01001,0.53675,0.00449,0.15667,0.01683,0.50671,0.02460
overcorrection_bias,1.0,active_entropy_query_policy,0.43917,0.02323,0.59671,0.03191,0.05333,0.01445,0.44598,0.00877,0.27169,0.00725,0.51662,0.00600,0.10833,0.01288,0.59004,0.03366
overcorrection_bias,1.0,robust_mpc_correction,0.56417,0.02953,0.80479,0.04774,0.05167,0.01027,0.56160,0.00756,0.10642,0.00367,0.50712,0.00625,0.02667,0.00836,0.77400,0.03783
overcorrection_bias,1.0,minimum_intervention_boundary_learner_v5,0.47917,0.02413,0.66608,0.03270,0.05000,0.00974,0.49147,0.00764,0.18410,0.00638,0.52104,0.00610,0.01917,0.01117,0.66879,0.03179
overcorrection_bias,1.0,oracle_minimal_correction,0.58917,0.02109,0.80540,0.02804,0.04917,0.01276,0.51125,0.00712,0.12557,0.00695,0.52793,0.00587,0.00917,0.00568,0.81217,0.02960
intent_ambiguity,0.0,full_demo_imitation,0.37417,0.02488,0.39592,0.02486,0.07083,0.01040,0.54814,0.01707,0.43530,0.02410,0.60732,0.00818,0.13917,0.01855,0.45070,0.03228
intent_ambiguity,0.0,residual_correction_learner,0.35417,0.03323,0.42214,0.04260,0.04500,0.01039,0.39305,0.01046,0.45784,0.02025,0.58915,0.00966,0.14167,0.01651,0.47510,0.04726
intent_ambiguity,0.0,uncertainty_query_policy,0.42917,0.02338,0.50733,0.02980,0.05750,0.01470,0.50598,0.01267,0.31345,0.01769,0.59774,0.00968,0.14333,0.01457,0.55384,0.02958
intent_ambiguity,0.0,active_entropy_query_policy,0.34917,0.03045,0.44734,0.04115,0.05250,0.01521,0.36856,0.00720,0.35072,0.01500,0.61523,0.00986,0.10500,0.01708,0.49672,0.04623
intent_ambiguity,0.0,robust_mpc_correction,0.56750,0.02341,0.79675,0.03933,0.04667,0.01147,0.56629,0.00611,0.11285,0.00662,0.59516,0.00970,0.03167,0.00762,0.78844,0.03407
intent_ambiguity,0.0,minimum_intervention_boundary_learner_v5,0.48667,0.02944,0.65741,0.04214,0.04500,0.00918,0.49832,0.00893,0.19502,0.01190,0.62878,0.00956,0.01750,0.00665,0.69402,0.03792
intent_ambiguity,0.0,oracle_minimal_correction,0.60083,0.02559,0.80853,0.03602,0.04167,0.01168,0.52061,0.00695,0.12815,0.01036,0.60918,0.00941,0.00667,0.00407,0.83947,0.03393
intent_ambiguity,0.2,full_demo_imitation,0.34083,0.02760,0.35834,0.02744,0.07500,0.01377,0.54190,0.01608,0.47007,0.02518,0.59080,0.00535,0.14917,0.02524,0.40235,0.03283
