stress_axis,stress_level,method,task_success,task_success_ci95,correction_efficiency,correction_efficiency_ci95,damage,damage_ci95,intervention_magnitude,intervention_magnitude_ci95,boundary_error,boundary_error_ci95,intent_preservation,intent_preservation_ci95,unsafe_override,unsafe_override_ci95,robust_utility,robust_utility_ci95
human_noise,0.0,full_demo_imitation,0.33583,0.02081,0.39311,0.02751,0.04917,0.01046,0.38684,0.01102,0.45333,0.01672,0.55763,0.00774,0.13583,0.01887,0.43017,0.02828
human_noise,0.0,residual_correction_learner,0.30917,0.02290,0.36018,0.02657,0.04667,0.00949,0.33345,0.00861,0.50013,0.01957,0.52960,0.00475,0.13833,0.01792,0.41317,0.02669
human_noise,0.0,uncertainty_query_policy,0.38583,0.03529,0.48560,0.04574,0.05333,0.01524,0.40767,0.00920,0.32821,0.01323,0.53145,0.00784,0.12500,0.01481,0.51219,0.04959
human_noise,0.0,active_entropy_query_policy,0.41083,0.01312,0.55138,0.02092,0.05417,0.01545,0.41416,0.00766,0.26168,0.00837,0.51965,0.00509,0.11167,0.01382,0.55322,0.01867
human_noise,0.0,robust_mpc_correction,0.56583,0.03094,0.81811,0.04935,0.05083,0.01074,0.56771,0.00547,0.10181,0.00368,0.50875,0.00547,0.02917,0.00439,0.77789,0.04143
human_noise,0.0,minimum_intervention_boundary_learner_v5,0.48667,0.02842,0.67649,0.03040,0.04583,0.00780,0.48273,0.00604,0.17015,0.00667,0.52338,0.00572,0.01167,0.00606,0.68364,0.03568
human_noise,0.0,oracle_minimal_correction,0.57834,0.01338,0.79506,0.01961,0.04833,0.01237,0.50629,0.00616,0.12940,0.00691,0.52935,0.00565,0.00583,0.00349,0.80084,0.01653
human_noise,0.2,full_demo_imitation,0.32083,0.01545,0.35592,0.01923,0.05750,0.01101,0.43408,0.00661,0.50623,0.01523,0.56518,0.00487,0.11667,0.03021,0.40517,0.02127
human_noise,0.2,residual_correction_learner,0.31417,0.02472,0.35918,0.02429,0.04833,0.01137,0.34277,0.00525,0.52668,0.00871,0.53767,0.00718,0.13750,0.01199,0.41772,0.03219
human_noise,0.2,uncertainty_query_policy,0.38000,0.02767,0.46461,0.04453,0.05417,0.01383,0.42621,0.00569,0.35753,0.01326,0.53767,0.00405,0.13417,0.01276,0.49808,0.04117
