stress_axis,stress_level,method,metric,mean,ci95,seeds,rows_per_seed
combined,0.0,active_entropy_query_policy,task_success,0.46583,0.02115,10,120
combined,0.0,active_entropy_query_policy,correction_efficiency,0.81751,0.04114,10,120
combined,0.0,active_entropy_query_policy,damage,0.03667,0.01010,10,120
combined,0.0,active_entropy_query_policy,intervention_magnitude,0.21781,0.00569,10,120
combined,0.0,active_entropy_query_policy,boundary_error,0.33570,0.00695,10,120
combined,0.0,active_entropy_query_policy,intent_preservation,0.67906,0.01045,10,120
combined,0.0,active_entropy_query_policy,query_rate,0.17500,0.02335,10,120
combined,0.0,active_entropy_query_policy,human_time,0.06491,0.00697,10,120
combined,0.0,active_entropy_query_policy,unsafe_override,0.04083,0.00787,10,120
combined,0.0,active_entropy_query_policy,calibration_error,0.14733,0.00514,10,120
combined,0.0,active_entropy_query_policy,regret_to_oracle,0.16695,0.00531,10,120
combined,0.0,active_entropy_query_policy,intervention_sparsity,0.61914,0.00515,10,120
combined,0.0,active_entropy_query_policy,robust_utility,0.73150,0.03016,10,120
combined,0.0,full_demo_imitation,task_success,0.56917,0.02374,10,120
combined,0.0,full_demo_imitation,correction_efficiency,1.06420,0.06207,10,120
combined,0.0,full_demo_imitation,damage,0.04000,0.00836,10,120
combined,0.0,full_demo_imitation,intervention_magnitude,0.30676,0.00670,10,120
combined,0.0,full_demo_imitation,boundary_error,0.22651,0.00958,10,120
combined,0.0,full_demo_imitation,intent_preservation,0.68075,0.00931,10,120
combined,0.0,full_demo_imitation,query_rate,1.00000,0.00000,10,120
combined,0.0,full_demo_imitation,human_time,0.62632,0.00429,10,120
combined,0.0,full_demo_imitation,unsafe_override,0.04750,0.01462,10,120
combined,0.0,full_demo_imitation,calibration_error,0.07218,0.00265,10,120
combined,0.0,full_demo_imitation,regret_to_oracle,0.09860,0.00243,10,120
combined,0.0,full_demo_imitation,intervention_sparsity,0.44995,0.00488,10,120
combined,0.0,full_demo_imitation,robust_utility,0.85200,0.03599,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,task_success,0.57917,0.02401,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,correction_efficiency,1.14573,0.06372,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,damage,0.03500,0.00871,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,intervention_magnitude,0.31246,0.00680,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,boundary_error,0.19458,0.01024,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,intent_preservation,0.70654,0.00966,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,query_rate,0.12500,0.01933,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,human_time,0.05270,0.00436,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,unsafe_override,0.00000,0.00000,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,calibration_error,0.21172,0.00472,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,regret_to_oracle,0.06691,0.00238,10,120
combined,0.0,minimum_intervention_boundary_learner_v5,intervention_sparsity,0.44552,0.00348,10,120
