split,reference,metric,mean_diff,ci95_diff,lower95_diff,seeds
adversarial_helpfulness,active_entropy_query_policy,task_success,0.08229,0.02759,0.05470,10
adversarial_helpfulness,active_entropy_query_policy,correction_efficiency,0.17626,0.03701,0.13925,10
adversarial_helpfulness,active_entropy_query_policy,damage,0.00000,0.00861,-0.00861,10
adversarial_helpfulness,active_entropy_query_policy,intervention_magnitude,0.07778,0.00195,0.07582,10
adversarial_helpfulness,active_entropy_query_policy,boundary_error,-0.13620,0.00697,-0.14318,10
adversarial_helpfulness,active_entropy_query_policy,intent_preservation,0.00871,0.00151,0.00720,10
adversarial_helpfulness,active_entropy_query_policy,unsafe_override,-0.08490,0.01108,-0.09598,10
adversarial_helpfulness,active_entropy_query_policy,robust_utility,0.13461,0.03530,0.09931,10
adversarial_helpfulness,dagger_full_correction,task_success,0.17136,0.03034,0.14102,10
adversarial_helpfulness,dagger_full_correction,correction_efficiency,0.41964,0.04905,0.37060,10
adversarial_helpfulness,dagger_full_correction,damage,0.00104,0.00960,-0.00856,10
adversarial_helpfulness,dagger_full_correction,intervention_magnitude,0.03584,0.00324,0.03260,10
adversarial_helpfulness,dagger_full_correction,boundary_error,-0.36616,0.01891,-0.38507,10
adversarial_helpfulness,dagger_full_correction,intent_preservation,-0.00156,0.00648,-0.00804,10
adversarial_helpfulness,dagger_full_correction,unsafe_override,-0.10625,0.01311,-0.11936,10
adversarial_helpfulness,dagger_full_correction,robust_utility,0.30635,0.04415,0.26220,10
adversarial_helpfulness,full_demo_imitation,task_success,0.20208,0.01887,0.18321,10
adversarial_helpfulness,full_demo_imitation,correction_efficiency,0.47237,0.03128,0.44109,10
adversarial_helpfulness,full_demo_imitation,damage,-0.01666,0.01177,-0.02843,10
adversarial_helpfulness,full_demo_imitation,intervention_magnitude,0.01326,0.00342,0.00984,10
adversarial_helpfulness,full_demo_imitation,boundary_error,-0.40674,0.01862,-0.42536,10
adversarial_helpfulness,full_demo_imitation,intent_preservation,-0.00599,0.00865,-0.01464,10
adversarial_helpfulness,full_demo_imitation,unsafe_override,-0.09792,0.01052,-0.10844,10
adversarial_helpfulness,full_demo_imitation,robust_utility,0.35710,0.02740,0.32970,10
adversarial_helpfulness,inverse_rl_correction_proxy,task_success,0.04636,0.03168,0.01467,10
adversarial_helpfulness,inverse_rl_correction_proxy,correction_efficiency,0.15129,0.04064,0.11065,10
adversarial_helpfulness,inverse_rl_correction_proxy,damage,-0.00000,0.00913,-0.00913,10
adversarial_helpfulness,inverse_rl_correction_proxy,intervention_magnitude,0.02293,0.00250,0.02044,10
adversarial_helpfulness,inverse_rl_correction_proxy,boundary_error,-0.10332,0.01054,-0.11386,10
adversarial_helpfulness,inverse_rl_correction_proxy,intent_preservation,-0.06889,0.00302,-0.07190,10
adversarial_helpfulness,inverse_rl_correction_proxy,unsafe_override,-0.09271,0.01587,-0.10858,10
adversarial_helpfulness,inverse_rl_correction_proxy,robust_utility,0.09464,0.04279,0.05185,10
adversarial_helpfulness,minimum_intervention_learner_v4,task_success,-0.05781,0.02857,-0.08638,10
adversarial_helpfulness,minimum_intervention_learner_v4,correction_efficiency,-0.12032,0.04044,-0.16075,10
adversarial_helpfulness,minimum_intervention_learner_v4,damage,-0.00104,0.01271,-0.01376,10
adversarial_helpfulness,minimum_intervention_learner_v4,intervention_magnitude,-0.05006,0.00359,-0.05365,10
adversarial_helpfulness,minimum_intervention_learner_v4,boundary_error,0.02158,0.01277,0.00881,10
adversarial_helpfulness,minimum_intervention_learner_v4,intent_preservation,0.00512,0.00232,0.00280,10
adversarial_helpfulness,minimum_intervention_learner_v4,unsafe_override,-0.09844,0.01322,-0.11166,10
adversarial_helpfulness,minimum_intervention_learner_v4,robust_utility,-0.05130,0.03567,-0.08697,10
adversarial_helpfulness,no_human_baseline,task_success,0.34688,0.03052,0.31636,10
adversarial_helpfulness,no_human_baseline,correction_efficiency,0.79685,0.03697,0.75988,10
adversarial_helpfulness,no_human_baseline,damage,0.00260,0.01454,-0.01193,10
adversarial_helpfulness,no_human_baseline,intervention_magnitude,0.36682,0.00331,0.36352,10
adversarial_helpfulness,no_human_baseline,boundary_error,-0.78708,0.00544,-0.79252,10
adversarial_helpfulness,no_human_baseline,intent_preservation,-0.01813,0.00605,-0.02418,10
adversarial_helpfulness,no_human_baseline,unsafe_override,-0.05781,0.01153,-0.06935,10
adversarial_helpfulness,no_human_baseline,robust_utility,0.49725,0.03665,0.46060,10
adversarial_helpfulness,oracle_minimal_correction,task_success,-0.10573,0.03210,-0.13783,10
adversarial_helpfulness,oracle_minimal_correction,correction_efficiency,-0.18478,0.04442,-0.22921,10
adversarial_helpfulness,oracle_minimal_correction,damage,0.01198,0.01169,0.00029,10
adversarial_helpfulness,oracle_minimal_correction,intervention_magnitude,-0.04040,0.00216,-0.04255,10
adversarial_helpfulness,oracle_minimal_correction,boundary_error,0.07681,0.00427,0.07254,10
adversarial_helpfulness,oracle_minimal_correction,intent_preservation,0.00393,0.00063,0.00330,10
adversarial_helpfulness,oracle_minimal_correction,unsafe_override,0.00156,0.00156,0.00000,10
adversarial_helpfulness,oracle_minimal_correction,robust_utility,-0.14909,0.04319,-0.19228,10
adversarial_helpfulness,preference_only_ranker,task_success,0.00156,0.02578,-0.02422,10
adversarial_helpfulness,preference_only_ranker,correction_efficiency,0.01451,0.04705,-0.03254,10
adversarial_helpfulness,preference_only_ranker,damage,-0.00677,0.01087,-0.01764,10
adversarial_helpfulness,preference_only_ranker,intervention_magnitude,0.01616,0.00296,0.01320,10
adversarial_helpfulness,preference_only_ranker,boundary_error,-0.02896,0.00986,-0.03881,10
adversarial_helpfulness,preference_only_ranker,intent_preservation,0.02868,0.00122,0.02746,10
adversarial_helpfulness,preference_only_ranker,unsafe_override,-0.08542,0.00989,-0.09530,10
adversarial_helpfulness,preference_only_ranker,robust_utility,0.02853,0.03369,-0.00516,10
adversarial_helpfulness,residual_correction_learner,task_success,0.18646,0.03224,0.15422,10
adversarial_helpfulness,residual_correction_learner,correction_efficiency,0.42623,0.04821,0.37803,10
adversarial_helpfulness,residual_correction_learner,damage,-0.00052,0.01240,-0.01292,10
adversarial_helpfulness,residual_correction_learner,intervention_magnitude,0.11912,0.00382,0.11529,10
adversarial_helpfulness,residual_correction_learner,boundary_error,-0.40300,0.01607,-0.41906,10
adversarial_helpfulness,residual_correction_learner,intent_preservation,0.01365,0.00703,0.00662,10
adversarial_helpfulness,residual_correction_learner,unsafe_override,-0.08333,0.01217,-0.09551,10
adversarial_helpfulness,residual_correction_learner,robust_utility,0.29539,0.04307,0.25232,10
adversarial_helpfulness,robust_mpc_correction,task_success,-0.10156,0.02175,-0.12331,10
adversarial_helpfulness,robust_mpc_correction,correction_efficiency,-0.22665,0.03664,-0.26330,10
adversarial_helpfulness,robust_mpc_correction,damage,-0.00052,0.00919,-0.00971,10
adversarial_helpfulness,robust_mpc_correction,intervention_magnitude,-0.07910,0.00303,-0.08213,10
adversarial_helpfulness,robust_mpc_correction,boundary_error,0.09305,0.00513,0.08792,10
adversarial_helpfulness,robust_mpc_correction,intent_preservation,0.02913,0.00074,0.02839,10
adversarial_helpfulness,robust_mpc_correction,unsafe_override,-0.00677,0.00266,-0.00943,10
adversarial_helpfulness,robust_mpc_correction,robust_utility,-0.13833,0.02874,-0.16707,10
adversarial_helpfulness,safety_filtered_residual,task_success,0.17865,0.02904,0.14961,10
adversarial_helpfulness,safety_filtered_residual,correction_efficiency,0.36557,0.04702,0.31855,10
adversarial_helpfulness,safety_filtered_residual,damage,0.01198,0.00647,0.00551,10
adversarial_helpfulness,safety_filtered_residual,intervention_magnitude,0.14929,0.00288,0.14641,10
adversarial_helpfulness,safety_filtered_residual,boundary_error,-0.28923,0.01030,-0.29953,10
adversarial_helpfulness,safety_filtered_residual,intent_preservation,0.03765,0.00156,0.03609,10
adversarial_helpfulness,safety_filtered_residual,unsafe_override,-0.00260,0.00410,-0.00670,10
adversarial_helpfulness,safety_filtered_residual,robust_utility,0.24432,0.03757,0.20675,10
adversarial_helpfulness,uncertainty_query_policy,task_success,0.13750,0.02248,0.11502,10
adversarial_helpfulness,uncertainty_query_policy,correction_efficiency,0.34064,0.04098,0.29967,10
adversarial_helpfulness,uncertainty_query_policy,damage,-0.01094,0.01295,-0.02389,10
adversarial_helpfulness,uncertainty_query_policy,intervention_magnitude,0.04004,0.00377,0.03627,10
adversarial_helpfulness,uncertainty_query_policy,boundary_error,-0.23554,0.01350,-0.24904,10
adversarial_helpfulness,uncertainty_query_policy,intent_preservation,0.01056,0.00592,0.00464,10
adversarial_helpfulness,uncertainty_query_policy,unsafe_override,-0.09635,0.01346,-0.10982,10
adversarial_helpfulness,uncertainty_query_policy,robust_utility,0.24356,0.03512,0.20843,10
ambiguous_intent,active_entropy_query_policy,task_success,0.07656,0.03832,0.03824,10
ambiguous_intent,active_entropy_query_policy,correction_efficiency,0.17692,0.07084,0.10609,10
ambiguous_intent,active_entropy_query_policy,damage,-0.01302,0.01539,-0.02841,10
ambiguous_intent,active_entropy_query_policy,intervention_magnitude,0.05219,0.00294,0.04926,10
ambiguous_intent,active_entropy_query_policy,boundary_error,-0.09047,0.00785,-0.09832,10
ambiguous_intent,active_entropy_query_policy,intent_preservation,0.00390,0.00136,0.00254,10
ambiguous_intent,active_entropy_query_policy,unsafe_override,-0.06667,0.00831,-0.07497,10
ambiguous_intent,active_entropy_query_policy,robust_utility,0.13538,0.05983,0.07555,10
ambiguous_intent,dagger_full_correction,task_success,0.14740,0.02959,0.11781,10
ambiguous_intent,dagger_full_correction,correction_efficiency,0.42599,0.05330,0.37269,10
ambiguous_intent,dagger_full_correction,damage,-0.01979,0.01410,-0.03389,10
ambiguous_intent,dagger_full_correction,intervention_magnitude,0.00789,0.00668,0.00121,10
ambiguous_intent,dagger_full_correction,boundary_error,-0.25827,0.02682,-0.28509,10
ambiguous_intent,dagger_full_correction,intent_preservation,-0.03726,0.00398,-0.04123,10
ambiguous_intent,dagger_full_correction,unsafe_override,-0.08542,0.01763,-0.10304,10
ambiguous_intent,dagger_full_correction,robust_utility,0.28660,0.04823,0.23837,10
ambiguous_intent,full_demo_imitation,task_success,0.13333,0.03021,0.10312,10
ambiguous_intent,full_demo_imitation,correction_efficiency,0.41516,0.05217,0.36299,10
ambiguous_intent,full_demo_imitation,damage,-0.03229,0.01528,-0.04757,10
ambiguous_intent,full_demo_imitation,intervention_magnitude,-0.01216,0.00562,-0.01778,10
ambiguous_intent,full_demo_imitation,boundary_error,-0.29254,0.02093,-0.31347,10
ambiguous_intent,full_demo_imitation,intent_preservation,-0.04587,0.00468,-0.05055,10
ambiguous_intent,full_demo_imitation,unsafe_override,-0.09166,0.01248,-0.10414,10
ambiguous_intent,full_demo_imitation,robust_utility,0.27913,0.04485,0.23429,10
ambiguous_intent,inverse_rl_correction_proxy,task_success,0.10521,0.02386,0.08135,10
ambiguous_intent,inverse_rl_correction_proxy,correction_efficiency,0.26993,0.04980,0.22012,10
ambiguous_intent,inverse_rl_correction_proxy,damage,-0.00885,0.00987,-0.01872,10
ambiguous_intent,inverse_rl_correction_proxy,intervention_magnitude,0.06288,0.00393,0.05895,10
ambiguous_intent,inverse_rl_correction_proxy,boundary_error,-0.11704,0.01351,-0.13055,10
ambiguous_intent,inverse_rl_correction_proxy,intent_preservation,-0.05225,0.00322,-0.05547,10
ambiguous_intent,inverse_rl_correction_proxy,unsafe_override,-0.06875,0.01187,-0.08062,10
ambiguous_intent,inverse_rl_correction_proxy,robust_utility,0.17544,0.03694,0.13850,10
ambiguous_intent,minimum_intervention_learner_v4,task_success,-0.00104,0.02462,-0.02566,10
ambiguous_intent,minimum_intervention_learner_v4,correction_efficiency,-0.01127,0.04889,-0.06017,10
ambiguous_intent,minimum_intervention_learner_v4,damage,-0.00625,0.01645,-0.02269,10
ambiguous_intent,minimum_intervention_learner_v4,intervention_magnitude,-0.02399,0.00303,-0.02702,10
ambiguous_intent,minimum_intervention_learner_v4,boundary_error,-0.00050,0.00666,-0.00716,10
ambiguous_intent,minimum_intervention_learner_v4,intent_preservation,0.00231,0.00190,0.00041,10
ambiguous_intent,minimum_intervention_learner_v4,unsafe_override,-0.07656,0.01292,-0.08948,10
ambiguous_intent,minimum_intervention_learner_v4,robust_utility,0.02341,0.03876,-0.01535,10
ambiguous_intent,no_human_baseline,task_success,0.37292,0.01985,0.35306,10
ambiguous_intent,no_human_baseline,correction_efficiency,0.99560,0.04909,0.94650,10
ambiguous_intent,no_human_baseline,damage,-0.00729,0.01275,-0.02004,10
ambiguous_intent,no_human_baseline,intervention_magnitude,0.35926,0.00593,0.35334,10
ambiguous_intent,no_human_baseline,boundary_error,-0.82321,0.00415,-0.82736,10
ambiguous_intent,no_human_baseline,intent_preservation,-0.07772,0.00319,-0.08091,10
ambiguous_intent,no_human_baseline,unsafe_override,-0.04427,0.01001,-0.05428,10
ambiguous_intent,no_human_baseline,robust_utility,0.55875,0.02703,0.53173,10
ambiguous_intent,oracle_minimal_correction,task_success,-0.02396,0.03229,-0.05625,10
ambiguous_intent,oracle_minimal_correction,correction_efficiency,-0.01345,0.07044,-0.08389,10
ambiguous_intent,oracle_minimal_correction,damage,-0.00052,0.01592,-0.01644,10
ambiguous_intent,oracle_minimal_correction,intervention_magnitude,-0.00637,0.00195,-0.00832,10
ambiguous_intent,oracle_minimal_correction,boundary_error,0.03216,0.00464,0.02752,10
ambiguous_intent,oracle_minimal_correction,intent_preservation,-0.01670,0.00102,-0.01772,10
ambiguous_intent,oracle_minimal_correction,unsafe_override,0.00000,0.00000,0.00000,10
ambiguous_intent,oracle_minimal_correction,robust_utility,-0.02841,0.04663,-0.07503,10
ambiguous_intent,preference_only_ranker,task_success,0.08177,0.03998,0.04179,10
ambiguous_intent,preference_only_ranker,correction_efficiency,0.18743,0.07155,0.11588,10
ambiguous_intent,preference_only_ranker,damage,-0.01875,0.01546,-0.03421,10
ambiguous_intent,preference_only_ranker,intervention_magnitude,0.05816,0.00366,0.05451,10
ambiguous_intent,preference_only_ranker,boundary_error,-0.06634,0.01006,-0.07641,10
