split,reference,metric,mean_diff,ci95_diff,lower95_diff,seeds
ambiguous_intent,preference_only_ranker,intent_preservation,0.01792,0.00132,0.01660,10
ambiguous_intent,preference_only_ranker,unsafe_override,-0.07188,0.01187,-0.08374,10
ambiguous_intent,preference_only_ranker,robust_utility,0.14425,0.05756,0.08669,10
ambiguous_intent,residual_correction_learner,task_success,0.18021,0.01783,0.16238,10
ambiguous_intent,residual_correction_learner,correction_efficiency,0.45932,0.04711,0.41221,10
ambiguous_intent,residual_correction_learner,damage,-0.00989,0.01677,-0.02666,10
ambiguous_intent,residual_correction_learner,intervention_magnitude,0.06644,0.00549,0.06095,10
ambiguous_intent,residual_correction_learner,boundary_error,-0.32138,0.01918,-0.34055,10
ambiguous_intent,residual_correction_learner,intent_preservation,-0.01439,0.00512,-0.01951,10
ambiguous_intent,residual_correction_learner,unsafe_override,-0.08333,0.01032,-0.09366,10
ambiguous_intent,residual_correction_learner,robust_utility,0.30211,0.03113,0.27098,10
ambiguous_intent,robust_mpc_correction,task_success,-0.01406,0.03737,-0.05143,10
ambiguous_intent,robust_mpc_correction,correction_efficiency,-0.07184,0.06857,-0.14041,10
ambiguous_intent,robust_mpc_correction,damage,0.00000,0.01032,-0.01032,10
ambiguous_intent,robust_mpc_correction,intervention_magnitude,-0.04529,0.00202,-0.04731,10
ambiguous_intent,robust_mpc_correction,boundary_error,0.05057,0.00324,0.04733,10
ambiguous_intent,robust_mpc_correction,intent_preservation,0.01660,0.00059,0.01601,10
ambiguous_intent,robust_mpc_correction,unsafe_override,-0.00208,0.00226,-0.00434,10
ambiguous_intent,robust_mpc_correction,robust_utility,-0.02272,0.05327,-0.07599,10
ambiguous_intent,safety_filtered_residual,task_success,0.12396,0.03529,0.08867,10
ambiguous_intent,safety_filtered_residual,correction_efficiency,0.32417,0.05912,0.26505,10
ambiguous_intent,safety_filtered_residual,damage,-0.00104,0.01558,-0.01662,10
ambiguous_intent,safety_filtered_residual,intervention_magnitude,0.10781,0.00462,0.10319,10
ambiguous_intent,safety_filtered_residual,boundary_error,-0.21053,0.01391,-0.22444,10
ambiguous_intent,safety_filtered_residual,intent_preservation,0.01570,0.00119,0.01451,10
ambiguous_intent,safety_filtered_residual,unsafe_override,-0.00208,0.00226,-0.00434,10
ambiguous_intent,safety_filtered_residual,robust_utility,0.18716,0.05197,0.13519,10
ambiguous_intent,uncertainty_query_policy,task_success,0.10625,0.01477,0.09148,10
ambiguous_intent,uncertainty_query_policy,correction_efficiency,0.31740,0.02927,0.28813,10
ambiguous_intent,uncertainty_query_policy,damage,-0.01927,0.01937,-0.03864,10
ambiguous_intent,uncertainty_query_policy,intervention_magnitude,0.01486,0.00394,0.01092,10
ambiguous_intent,uncertainty_query_policy,boundary_error,-0.16856,0.01421,-0.18277,10
ambiguous_intent,uncertainty_query_policy,intent_preservation,-0.01978,0.00359,-0.02337,10
ambiguous_intent,uncertainty_query_policy,unsafe_override,-0.09010,0.01460,-0.10470,10
ambiguous_intent,uncertainty_query_policy,robust_utility,0.20808,0.02389,0.18419,10
combined_hard_shift,active_entropy_query_policy,task_success,0.06250,0.02200,0.04050,10
combined_hard_shift,active_entropy_query_policy,correction_efficiency,0.09934,0.03117,0.06817,10
combined_hard_shift,active_entropy_query_policy,damage,-0.00990,0.01810,-0.02799,10
combined_hard_shift,active_entropy_query_policy,intervention_magnitude,0.06102,0.00448,0.05654,10
combined_hard_shift,active_entropy_query_policy,boundary_error,-0.09911,0.00689,-0.10600,10
combined_hard_shift,active_entropy_query_policy,intent_preservation,0.00399,0.00118,0.00281,10
combined_hard_shift,active_entropy_query_policy,unsafe_override,-0.09531,0.01574,-0.11106,10
combined_hard_shift,active_entropy_query_policy,robust_utility,0.11162,0.02980,0.08182,10
combined_hard_shift,dagger_full_correction,task_success,0.14271,0.03345,0.10926,10
combined_hard_shift,dagger_full_correction,correction_efficiency,0.31313,0.03836,0.27477,10
combined_hard_shift,dagger_full_correction,damage,-0.01823,0.01121,-0.02944,10
combined_hard_shift,dagger_full_correction,intervention_magnitude,0.00565,0.00985,-0.00421,10
combined_hard_shift,dagger_full_correction,boundary_error,-0.30800,0.01717,-0.32517,10
combined_hard_shift,dagger_full_correction,intent_preservation,-0.03212,0.00324,-0.03536,10
combined_hard_shift,dagger_full_correction,unsafe_override,-0.12812,0.00965,-0.13777,10
combined_hard_shift,dagger_full_correction,robust_utility,0.26885,0.04151,0.22733,10
combined_hard_shift,full_demo_imitation,task_success,0.16927,0.02455,0.14472,10
combined_hard_shift,full_demo_imitation,correction_efficiency,0.34928,0.03106,0.31822,10
combined_hard_shift,full_demo_imitation,damage,-0.02917,0.01523,-0.04440,10
combined_hard_shift,full_demo_imitation,intervention_magnitude,-0.03767,0.01120,-0.04886,10
combined_hard_shift,full_demo_imitation,boundary_error,-0.34790,0.01621,-0.36411,10
combined_hard_shift,full_demo_imitation,intent_preservation,-0.03918,0.00405,-0.04323,10
combined_hard_shift,full_demo_imitation,unsafe_override,-0.13333,0.01932,-0.15266,10
combined_hard_shift,full_demo_imitation,robust_utility,0.31292,0.03848,0.27444,10
combined_hard_shift,inverse_rl_correction_proxy,task_success,0.07031,0.02222,0.04809,10
combined_hard_shift,inverse_rl_correction_proxy,correction_efficiency,0.12548,0.03241,0.09308,10
combined_hard_shift,inverse_rl_correction_proxy,damage,-0.00677,0.01098,-0.01775,10
combined_hard_shift,inverse_rl_correction_proxy,intervention_magnitude,0.05959,0.00422,0.05536,10
combined_hard_shift,inverse_rl_correction_proxy,boundary_error,-0.09625,0.00835,-0.10460,10
combined_hard_shift,inverse_rl_correction_proxy,intent_preservation,-0.04188,0.00251,-0.04439,10
combined_hard_shift,inverse_rl_correction_proxy,unsafe_override,-0.11510,0.01331,-0.12841,10
combined_hard_shift,inverse_rl_correction_proxy,robust_utility,0.12345,0.03066,0.09279,10
combined_hard_shift,minimum_intervention_learner_v4,task_success,-0.03021,0.03180,-0.06201,10
combined_hard_shift,minimum_intervention_learner_v4,correction_efficiency,-0.05374,0.03629,-0.09004,10
combined_hard_shift,minimum_intervention_learner_v4,damage,-0.01667,0.01167,-0.02834,10
combined_hard_shift,minimum_intervention_learner_v4,intervention_magnitude,-0.05256,0.00368,-0.05624,10
combined_hard_shift,minimum_intervention_learner_v4,boundary_error,0.00781,0.00745,0.00036,10
combined_hard_shift,minimum_intervention_learner_v4,intent_preservation,0.00370,0.00281,0.00090,10
combined_hard_shift,minimum_intervention_learner_v4,unsafe_override,-0.13854,0.01769,-0.15623,10
combined_hard_shift,minimum_intervention_learner_v4,robust_utility,0.00982,0.04029,-0.03047,10
combined_hard_shift,no_human_baseline,task_success,0.38177,0.02627,0.35550,10
combined_hard_shift,no_human_baseline,correction_efficiency,0.64688,0.03071,0.61617,10
combined_hard_shift,no_human_baseline,damage,-0.00313,0.01046,-0.01358,10
combined_hard_shift,no_human_baseline,intervention_magnitude,0.48039,0.00550,0.47488,10
combined_hard_shift,no_human_baseline,boundary_error,-0.80318,0.00432,-0.80749,10
combined_hard_shift,no_human_baseline,intent_preservation,-0.06382,0.00579,-0.06961,10
combined_hard_shift,no_human_baseline,unsafe_override,-0.06198,0.01642,-0.07840,10
combined_hard_shift,no_human_baseline,robust_utility,0.49342,0.03190,0.46152,10
combined_hard_shift,oracle_minimal_correction,task_success,-0.10781,0.03059,-0.13840,10
combined_hard_shift,oracle_minimal_correction,correction_efficiency,-0.14369,0.04583,-0.18953,10
combined_hard_shift,oracle_minimal_correction,damage,-0.00365,0.01460,-0.01825,10
combined_hard_shift,oracle_minimal_correction,intervention_magnitude,-0.03295,0.00425,-0.03720,10
combined_hard_shift,oracle_minimal_correction,boundary_error,0.06753,0.00607,0.06147,10
combined_hard_shift,oracle_minimal_correction,intent_preservation,-0.00554,0.00077,-0.00631,10
combined_hard_shift,oracle_minimal_correction,unsafe_override,0.00677,0.00590,0.00087,10
combined_hard_shift,oracle_minimal_correction,robust_utility,-0.13765,0.04228,-0.17993,10
combined_hard_shift,preference_only_ranker,task_success,0.02969,0.03096,-0.00128,10
combined_hard_shift,preference_only_ranker,correction_efficiency,0.05106,0.04487,0.00619,10
combined_hard_shift,preference_only_ranker,damage,-0.00677,0.01179,-0.01856,10
combined_hard_shift,preference_only_ranker,intervention_magnitude,0.05164,0.00434,0.04731,10
combined_hard_shift,preference_only_ranker,boundary_error,-0.06689,0.00698,-0.07387,10
combined_hard_shift,preference_only_ranker,intent_preservation,0.01623,0.00214,0.01410,10
combined_hard_shift,preference_only_ranker,unsafe_override,-0.12135,0.01877,-0.14012,10
combined_hard_shift,preference_only_ranker,robust_utility,0.06983,0.03988,0.02995,10
combined_hard_shift,residual_correction_learner,task_success,0.16927,0.02359,0.14568,10
combined_hard_shift,residual_correction_learner,correction_efficiency,0.30356,0.03144,0.27212,10
combined_hard_shift,residual_correction_learner,damage,-0.01302,0.01338,-0.02640,10
combined_hard_shift,residual_correction_learner,intervention_magnitude,0.12068,0.01054,0.11015,10
combined_hard_shift,residual_correction_learner,boundary_error,-0.34140,0.01570,-0.35710,10
combined_hard_shift,residual_correction_learner,intent_preservation,-0.00712,0.00702,-0.01414,10
combined_hard_shift,residual_correction_learner,unsafe_override,-0.12292,0.01846,-0.14138,10
combined_hard_shift,residual_correction_learner,robust_utility,0.26700,0.02460,0.24240,10
combined_hard_shift,robust_mpc_correction,task_success,-0.08906,0.03577,-0.12483,10
combined_hard_shift,robust_mpc_correction,correction_efficiency,-0.15355,0.05280,-0.20635,10
combined_hard_shift,robust_mpc_correction,damage,-0.00989,0.01081,-0.02070,10
combined_hard_shift,robust_mpc_correction,intervention_magnitude,-0.08136,0.00397,-0.08533,10
combined_hard_shift,robust_mpc_correction,boundary_error,0.08814,0.00615,0.08199,10
combined_hard_shift,robust_mpc_correction,intent_preservation,0.01522,0.00051,0.01471,10
combined_hard_shift,robust_mpc_correction,unsafe_override,-0.01667,0.00788,-0.02455,10
combined_hard_shift,robust_mpc_correction,robust_utility,-0.10463,0.04837,-0.15300,10
combined_hard_shift,safety_filtered_residual,task_success,0.14375,0.03362,0.11013,10
combined_hard_shift,safety_filtered_residual,correction_efficiency,0.23985,0.04701,0.19284,10
combined_hard_shift,safety_filtered_residual,damage,-0.01510,0.02144,-0.03654,10
combined_hard_shift,safety_filtered_residual,intervention_magnitude,0.15591,0.00777,0.14813,10
combined_hard_shift,safety_filtered_residual,boundary_error,-0.24441,0.01395,-0.25836,10
combined_hard_shift,safety_filtered_residual,intent_preservation,0.01514,0.00074,0.01441,10
combined_hard_shift,safety_filtered_residual,unsafe_override,-0.00052,0.00654,-0.00706,10
combined_hard_shift,safety_filtered_residual,robust_utility,0.19373,0.04291,0.15082,10
combined_hard_shift,uncertainty_query_policy,task_success,0.09219,0.03674,0.05544,10
combined_hard_shift,uncertainty_query_policy,correction_efficiency,0.21003,0.05088,0.15915,10
combined_hard_shift,uncertainty_query_policy,damage,-0.01562,0.01198,-0.02760,10
combined_hard_shift,uncertainty_query_policy,intervention_magnitude,0.01191,0.00763,0.00427,10
combined_hard_shift,uncertainty_query_policy,boundary_error,-0.19110,0.01137,-0.20248,10
combined_hard_shift,uncertainty_query_policy,intent_preservation,-0.01643,0.00284,-0.01927,10
combined_hard_shift,uncertainty_query_policy,unsafe_override,-0.12083,0.01271,-0.13355,10
combined_hard_shift,uncertainty_query_policy,robust_utility,0.17781,0.04873,0.12908,10
delayed_feedback,active_entropy_query_policy,task_success,0.10729,0.03599,0.07131,10
delayed_feedback,active_entropy_query_policy,correction_efficiency,0.24883,0.05616,0.19266,10
delayed_feedback,active_entropy_query_policy,damage,-0.00000,0.01552,-0.01552,10
delayed_feedback,active_entropy_query_policy,intervention_magnitude,0.11053,0.00330,0.10723,10
delayed_feedback,active_entropy_query_policy,boundary_error,-0.16565,0.00839,-0.17405,10
delayed_feedback,active_entropy_query_policy,intent_preservation,0.00951,0.00176,0.00775,10
delayed_feedback,active_entropy_query_policy,unsafe_override,-0.07552,0.01285,-0.08837,10
delayed_feedback,active_entropy_query_policy,robust_utility,0.16757,0.04631,0.12126,10
delayed_feedback,dagger_full_correction,task_success,0.07396,0.03188,0.04208,10
delayed_feedback,dagger_full_correction,correction_efficiency,0.28181,0.04887,0.23294,10
delayed_feedback,dagger_full_correction,damage,-0.01927,0.01708,-0.03635,10
delayed_feedback,dagger_full_correction,intervention_magnitude,-0.04570,0.00556,-0.05126,10
delayed_feedback,dagger_full_correction,boundary_error,-0.18928,0.01048,-0.19977,10
delayed_feedback,dagger_full_correction,intent_preservation,0.01168,0.00420,0.00748,10
delayed_feedback,dagger_full_correction,unsafe_override,-0.09479,0.00996,-0.10475,10
delayed_feedback,dagger_full_correction,robust_utility,0.19715,0.03796,0.15919,10
delayed_feedback,full_demo_imitation,task_success,0.09531,0.03070,0.06461,10
delayed_feedback,full_demo_imitation,correction_efficiency,0.31688,0.04965,0.26722,10
delayed_feedback,full_demo_imitation,damage,-0.04739,0.01518,-0.06257,10
delayed_feedback,full_demo_imitation,intervention_magnitude,-0.08356,0.00872,-0.09227,10
delayed_feedback,full_demo_imitation,boundary_error,-0.23194,0.01370,-0.24563,10
delayed_feedback,full_demo_imitation,intent_preservation,0.00578,0.00477,0.00101,10
delayed_feedback,full_demo_imitation,unsafe_override,-0.11198,0.02003,-0.13201,10
delayed_feedback,full_demo_imitation,robust_utility,0.24815,0.04268,0.20548,10
delayed_feedback,inverse_rl_correction_proxy,task_success,0.09896,0.03918,0.05977,10
delayed_feedback,inverse_rl_correction_proxy,correction_efficiency,0.29032,0.06028,0.23005,10
delayed_feedback,inverse_rl_correction_proxy,damage,-0.00156,0.01246,-0.01402,10
