split,risk_budget,reference,metric,mean_diff,ci95_diff,lower95_diff,seeds
combined_hard_shift,0.02,active_entropy_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,active_entropy_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,active_entropy_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,active_entropy_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,active_entropy_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,oracle_minimal_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,oracle_minimal_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,oracle_minimal_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,oracle_minimal_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,oracle_minimal_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,robust_mpc_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,robust_mpc_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,robust_mpc_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,robust_mpc_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,robust_mpc_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,safety_filtered_residual,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,safety_filtered_residual,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,safety_filtered_residual,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,safety_filtered_residual,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,safety_filtered_residual,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,uncertainty_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,uncertainty_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,uncertainty_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,uncertainty_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,uncertainty_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,active_entropy_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,active_entropy_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,active_entropy_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,active_entropy_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,active_entropy_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,oracle_minimal_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,oracle_minimal_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,oracle_minimal_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,oracle_minimal_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,oracle_minimal_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,robust_mpc_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,robust_mpc_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,robust_mpc_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,robust_mpc_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,robust_mpc_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,safety_filtered_residual,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,safety_filtered_residual,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,safety_filtered_residual,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,safety_filtered_residual,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,safety_filtered_residual,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,uncertainty_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,uncertainty_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,uncertainty_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,uncertainty_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,uncertainty_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,active_entropy_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,active_entropy_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,active_entropy_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,active_entropy_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,active_entropy_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,oracle_minimal_correction,coverage,-0.08958,0.01691,-0.10649,10
combined_hard_shift,0.08,oracle_minimal_correction,accepted_success,-0.62382,0.06939,-0.69322,10
combined_hard_shift,0.08,oracle_minimal_correction,accepted_damage,-0.03616,0.03025,-0.06641,10
combined_hard_shift,0.08,oracle_minimal_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,oracle_minimal_correction,accepted_utility,-0.86602,0.10450,-0.97052,10
combined_hard_shift,0.08,robust_mpc_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,robust_mpc_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,robust_mpc_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,robust_mpc_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,robust_mpc_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,safety_filtered_residual,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,safety_filtered_residual,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,safety_filtered_residual,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,safety_filtered_residual,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,safety_filtered_residual,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,uncertainty_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,uncertainty_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,uncertainty_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,uncertainty_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,uncertainty_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,active_entropy_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,active_entropy_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,active_entropy_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,active_entropy_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,active_entropy_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_minimal_correction,coverage,-0.99722,0.00222,-0.99945,10
combined_hard_shift,0.10,oracle_minimal_correction,accepted_success,-0.58293,0.02039,-0.60332,10
combined_hard_shift,0.10,oracle_minimal_correction,accepted_damage,-0.04593,0.01201,-0.05794,10
combined_hard_shift,0.10,oracle_minimal_correction,accepted_unsafe,-0.00835,0.00446,-0.01281,10
combined_hard_shift,0.10,oracle_minimal_correction,accepted_utility,-0.80361,0.02846,-0.83207,10
combined_hard_shift,0.10,robust_mpc_correction,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_mpc_correction,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_mpc_correction,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_mpc_correction,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_mpc_correction,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,safety_filtered_residual,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,safety_filtered_residual,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,safety_filtered_residual,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,safety_filtered_residual,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,safety_filtered_residual,accepted_utility,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,uncertainty_query_policy,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,uncertainty_query_policy,accepted_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,uncertainty_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,uncertainty_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,uncertainty_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
dynamics_mismatch,0.02,active_entropy_query_policy,coverage,0.00000,0.00000,0.00000,10
dynamics_mismatch,0.02,active_entropy_query_policy,accepted_success,0.00000,0.00000,0.00000,10
dynamics_mismatch,0.02,active_entropy_query_policy,accepted_damage,0.00000,0.00000,0.00000,10
dynamics_mismatch,0.02,active_entropy_query_policy,accepted_unsafe,0.00000,0.00000,0.00000,10
dynamics_mismatch,0.02,active_entropy_query_policy,accepted_utility,0.00000,0.00000,0.00000,10
