split,task,seed,episode_id,method,task_success,intervention_magnitude,minimal_magnitude,correction_efficiency,overcorrection_ratio,damage,intent_preservation,boundary_error,query,success_probability,damage_probability,calibration_error,human_noise,overcorrection_bias,delay,ambiguity
combined_hard_shift,peg_insertion,0,0,full_minimum_intervention_learner,0,0.80730,0.80373,0.00000,0.00444,0,0.37866,0.00939,1,0.59821,0.04163,0.16179,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,minus_minimum_norm_objective,0,1.16696,0.80373,0.00000,0.45193,0,0.60223,0.03035,1,0.59764,0.08778,0.08236,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,minus_counterfactual_boundary,0,0.33296,0.80373,0.00000,0.00000,0,0.42086,0.61672,1,0.18933,0.05075,0.41067,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,minus_intent_preservation,0,0.71384,0.80373,0.00000,0.00000,0,0.36390,0.12275,1,0.47721,0.06392,0.16279,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,minus_human_effort_cost,0,0.80213,0.80373,0.00000,0.00000,0,0.38409,0.01688,1,0.56772,0.05295,0.09228,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,all_corrections_imitation,1,1.12855,0.80373,0.76854,0.40415,0,0.59884,0.00567,1,0.59834,0.09591,0.06166,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,0,preference_only_objective,0,0.54251,0.80373,0.00000,0.00000,0,0.37221,0.33363,0,0.31617,0.05367,0.24383,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,1,full_minimum_intervention_learner,0,0.66653,0.56485,0.00000,0.18000,0,0.43887,0.15824,1,0.61019,0.04953,0.14981,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,1,minus_minimum_norm_objective,1,0.63413,0.56485,1.24391,0.12266,0,0.59235,0.01271,1,0.60291,0.04870,0.07709,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,1,minus_counterfactual_boundary,1,0.73347,0.56485,1.31368,0.29851,0,0.40385,0.26878,1,0.57919,0.07914,0.02081,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,1,minus_intent_preservation,1,0.81882,0.56485,1.20142,0.44962,0,0.39911,0.42621,1,0.57543,0.11757,0.06457,0.18000,0.45000,0.34000,0.48000
combined_hard_shift,peg_insertion,0,1,minus_human_effort_cost,1,0.93201,0.56485,1.07913,0.65000,0,0.44177,0.61874,1,0.57520,0.12776,0.08480,0.18000,0.45000,0.34000,0.48000
