split,risk_budget,method,seeds,rows_per_seed,coverage,coverage_ci95,accepted_success,accepted_success_ci95,accepted_damage,accepted_damage_ci95,accepted_unsafe,accepted_unsafe_ci95,accepted_utility,accepted_utility_ci95,mean_risk_score,mean_risk_score_ci95
combined_hard_shift,0.02,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38495,0.00069
combined_hard_shift,0.02,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29043,0.00070
combined_hard_shift,0.02,oracle_minimal_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08647,0.00024
combined_hard_shift,0.02,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36888,0.00069
combined_hard_shift,0.02,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32848,0.00069
combined_hard_shift,0.02,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47848,0.00069
combined_hard_shift,0.05,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38495,0.00069
combined_hard_shift,0.05,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29043,0.00070
combined_hard_shift,0.05,oracle_minimal_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08647,0.00024
combined_hard_shift,0.05,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36888,0.00069
combined_hard_shift,0.05,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32848,0.00069
combined_hard_shift,0.05,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47848,0.00069
combined_hard_shift,0.08,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38495,0.00069
combined_hard_shift,0.08,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29043,0.00070
combined_hard_shift,0.08,oracle_minimal_correction,10,144,0.08958,0.01691,0.62382,0.06939,0.03616,0.03025,0.00000,0.00000,0.86602,0.10450,0.08647,0.00024
combined_hard_shift,0.08,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36888,0.00069
