split,risk_budget,method,seeds,rows_per_seed,coverage,coverage_ci95,accepted_success,accepted_success_ci95,accepted_damage,accepted_damage_ci95,accepted_unsafe,accepted_unsafe_ci95,accepted_utility,accepted_utility_ci95,mean_risk_score,mean_risk_score_ci95
combined_hard_shift,0.08,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32848,0.00069
combined_hard_shift,0.08,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47848,0.00069
combined_hard_shift,0.10,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38495,0.00069
combined_hard_shift,0.10,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29043,0.00070
combined_hard_shift,0.10,oracle_minimal_correction,10,144,0.99722,0.00222,0.58293,0.02039,0.04593,0.01201,0.00835,0.00446,0.80361,0.02846,0.08647,0.00024
combined_hard_shift,0.10,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36888,0.00069
combined_hard_shift,0.10,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32848,0.00069
combined_hard_shift,0.10,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47848,0.00069
dynamics_mismatch,0.02,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30235,0.00106
dynamics_mismatch,0.02,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20596,0.00111
dynamics_mismatch,0.02,oracle_minimal_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08178,0.00023
dynamics_mismatch,0.02,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29302,0.00101
dynamics_mismatch,0.02,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25142,0.00101
dynamics_mismatch,0.02,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40142,0.00101
dynamics_mismatch,0.05,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30235,0.00106
dynamics_mismatch,0.05,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20596,0.00111
dynamics_mismatch,0.05,oracle_minimal_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08178,0.00023
dynamics_mismatch,0.05,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29302,0.00101
dynamics_mismatch,0.05,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25142,0.00101
dynamics_mismatch,0.05,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40142,0.00101
dynamics_mismatch,0.08,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30235,0.00106
dynamics_mismatch,0.08,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20596,0.00111
dynamics_mismatch,0.08,oracle_minimal_correction,10,144,0.39305,0.01959,0.55189,0.04213,0.03412,0.01040,0.01907,0.00806,0.76782,0.05522,0.08178,0.00023
dynamics_mismatch,0.08,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29302,0.00101
dynamics_mismatch,0.08,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25142,0.00101
dynamics_mismatch,0.08,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40142,0.00101
dynamics_mismatch,0.10,active_entropy_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30235,0.00106
dynamics_mismatch,0.10,minimum_intervention_boundary_learner_v5,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20596,0.00111
dynamics_mismatch,0.10,oracle_minimal_correction,10,144,1.00000,0.00000,0.56736,0.01392,0.03889,0.00544,0.01667,0.00463,0.78409,0.01877,0.08178,0.00023
dynamics_mismatch,0.10,robust_mpc_correction,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29302,0.00101
dynamics_mismatch,0.10,safety_filtered_residual,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25142,0.00101
dynamics_mismatch,0.10,uncertainty_query_policy,10,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40142,0.00101
