split,method,seed,rows,task_success,correction_efficiency,damage,intervention_magnitude,boundary_error,intent_preservation,query_rate,human_time,unsafe_override,calibration_error,regret_to_oracle,intervention_sparsity,robust_utility
hard_aggregate,active_entropy_query_policy,0,576,0.42709,0.57820,0.04687,0.40529,0.28166,0.56270,0.86806,0.30825,0.09722,0.21191,0.19459,0.56893,0.59042
hard_aggregate,active_entropy_query_policy,1,576,0.43403,0.59025,0.04167,0.39514,0.30580,0.54768,0.89236,0.30733,0.08160,0.23288,0.20767,0.58330,0.60590
hard_aggregate,active_entropy_query_policy,2,576,0.45139,0.62993,0.06423,0.40026,0.28152,0.55509,0.88715,0.30842,0.10764,0.21080,0.18764,0.56819,0.61312
hard_aggregate,active_entropy_query_policy,3,576,0.43056,0.58128,0.03646,0.38848,0.30718,0.55872,0.85417,0.29419,0.10590,0.22826,0.21124,0.58837,0.59864
hard_aggregate,active_entropy_query_policy,4,576,0.44098,0.60254,0.05555,0.38876,0.30010,0.56348,0.88021,0.30178,0.11632,0.21969,0.20429,0.57992,0.60074
hard_aggregate,active_entropy_query_policy,5,576,0.41493,0.57721,0.04167,0.40296,0.28466,0.55263,0.86285,0.30579,0.09896,0.21390,0.20170,0.57240,0.57924
hard_aggregate,active_entropy_query_policy,6,576,0.44792,0.61223,0.05035,0.38145,0.29760,0.55373,0.88715,0.29908,0.11111,0.22467,0.20522,0.58419,0.61305
hard_aggregate,active_entropy_query_policy,7,576,0.41146,0.56548,0.04514,0.39638,0.29419,0.54872,0.87847,0.30471,0.08854,0.21875,0.19466,0.57042,0.57374
hard_aggregate,active_entropy_query_policy,8,576,0.39583,0.54422,0.05209,0.38485,0.30332,0.55567,0.87326,0.29757,0.09375,0.22956,0.20878,0.58329,0.55024
hard_aggregate,active_entropy_query_policy,9,576,0.43750,0.59659,0.03993,0.40036,0.29529,0.55482,0.88542,0.31153,0.11458,0.21782,0.19593,0.57550,0.60279
hard_aggregate,dagger_full_correction,0,576,0.39062,0.42045,0.04340,0.43564,0.47885,0.58146,1.00000,0.70881,0.14062,0.23654,0.29035,0.51615,0.49068
hard_aggregate,dagger_full_correction,1,576,0.34202,0.38294,0.05903,0.42882,0.48593,0.57560,1.00000,0.70444,0.11285,0.24460,0.29371,0.52822,0.43351
hard_aggregate,dagger_full_correction,2,576,0.37153,0.39447,0.05382,0.44688,0.48779,0.57377,1.00000,0.71600,0.12500,0.23243,0.28026,0.49520,0.46245
hard_aggregate,dagger_full_correction,3,576,0.30903,0.33871,0.06076,0.42036,0.51122,0.57745,1.00000,0.69903,0.12847,0.25080,0.30445,0.53161,0.38617
hard_aggregate,dagger_full_correction,4,576,0.36979,0.39974,0.04861,0.42720,0.48319,0.57824,1.00000,0.70341,0.13542,0.23119,0.28484,0.51457,0.46379
hard_aggregate,dagger_full_correction,5,576,0.34896,0.38299,0.04688,0.43607,0.47688,0.57664,1.00000,0.70909,0.12673,0.23561,0.29250,0.51624,0.44222
hard_aggregate,dagger_full_correction,6,576,0.30555,0.32523,0.05382,0.41479,0.51022,0.56868,1.00000,0.69547,0.11979,0.25169,0.30648,0.52140,0.38428
hard_aggregate,dagger_full_correction,7,576,0.33854,0.37861,0.05382,0.43411,0.46830,0.57096,1.00000,0.70783,0.13195,0.22995,0.27814,0.50775,0.42466
hard_aggregate,dagger_full_correction,8,576,0.34028,0.37278,0.06076,0.41031,0.52083,0.58364,1.00000,0.69260,0.13542,0.25261,0.30353,0.53355,0.42416
hard_aggregate,dagger_full_correction,9,576,0.32292,0.36705,0.04514,0.42704,0.48310,0.57625,1.00000,0.70330,0.13889,0.23629,0.28638,0.51886,0.41052
hard_aggregate,full_demo_imitation,0,576,0.34201,0.35723,0.06597,0.47242,0.51120,0.58941,1.00000,0.73235,0.13194,0.20350,0.28719,0.47721,0.41689
hard_aggregate,full_demo_imitation,1,576,0.31076,0.31952,0.06945,0.45764,0.52667,0.58142,1.00000,0.72289,0.13021,0.21472,0.29557,0.49666,0.37638
hard_aggregate,full_demo_imitation,2,576,0.31771,0.35328,0.07292,0.48151,0.51889,0.58024,1.00000,0.73816,0.12847,0.20439,0.27916,0.45973,0.38674
hard_aggregate,full_demo_imitation,3,576,0.32813,0.32350,0.05208,0.45284,0.54718,0.57923,1.00000,0.71982,0.13715,0.21397,0.30547,0.49701,0.40157
hard_aggregate,full_demo_imitation,4,576,0.33507,0.36450,0.05903,0.45923,0.52707,0.58485,1.00000,0.72391,0.12674,0.20404,0.28979,0.48083,0.41658
hard_aggregate,full_demo_imitation,5,576,0.31077,0.33436,0.06597,0.47086,0.50656,0.58372,1.00000,0.73135,0.10937,0.20367,0.29057,0.48172,0.38645
hard_aggregate,full_demo_imitation,6,576,0.30209,0.31826,0.07986,0.44570,0.54307,0.57425,1.00000,0.71525,0.14063,0.21129,0.30508,0.49106,0.35822
hard_aggregate,full_demo_imitation,7,576,0.34549,0.37079,0.08680,0.46702,0.50816,0.57439,1.00000,0.72889,0.13368,0.20019,0.28000,0.47303,0.41001
hard_aggregate,full_demo_imitation,8,576,0.30208,0.31370,0.06597,0.44282,0.55672,0.59141,1.00000,0.71340,0.11979,0.21936,0.30527,0.49820,0.37294
hard_aggregate,full_demo_imitation,9,576,0.34549,0.35980,0.05556,0.46142,0.51352,0.58275,1.00000,0.72531,0.14062,0.20134,0.28322,0.48517,0.42375
hard_aggregate,inverse_rl_correction_proxy,0,576,0.41493,0.54003,0.04688,0.41854,0.27839,0.62017,1.00000,0.34786,0.11285,0.13665,0.19972,0.54611,0.57004
hard_aggregate,inverse_rl_correction_proxy,1,576,0.42187,0.53692,0.05208,0.40817,0.29291,0.60750,1.00000,0.34123,0.12326,0.14675,0.21020,0.56145,0.57009
hard_aggregate,inverse_rl_correction_proxy,2,576,0.44618,0.60399,0.05903,0.40543,0.29269,0.61540,1.00000,0.33947,0.13368,0.13973,0.20237,0.55008,0.60317
hard_aggregate,inverse_rl_correction_proxy,3,576,0.43403,0.56827,0.04514,0.40769,0.29574,0.61960,1.00000,0.34092,0.11458,0.14666,0.21026,0.55553,0.59647
hard_aggregate,inverse_rl_correction_proxy,4,576,0.40972,0.54949,0.05382,0.40372,0.29413,0.62250,1.00000,0.33838,0.10417,0.14033,0.20541,0.55329,0.56682
hard_aggregate,inverse_rl_correction_proxy,5,576,0.43924,0.57987,0.04688,0.41058,0.29637,0.61448,1.00000,0.34277,0.13715,0.14447,0.21119,0.55486,0.59623
hard_aggregate,inverse_rl_correction_proxy,6,576,0.44271,0.58709,0.04167,0.40294,0.29124,0.61620,1.00000,0.33788,0.09549,0.13878,0.20011,0.54830,0.61578
hard_aggregate,inverse_rl_correction_proxy,7,576,0.42535,0.54943,0.02257,0.40054,0.30078,0.61235,1.00000,0.33634,0.13715,0.14385,0.20633,0.55865,0.58849
hard_aggregate,inverse_rl_correction_proxy,8,576,0.40798,0.54865,0.03820,0.40638,0.28739,0.61490,1.00000,0.34008,0.11285,0.14491,0.20263,0.55429,0.56958
hard_aggregate,inverse_rl_correction_proxy,9,576,0.44618,0.58668,0.05208,0.41255,0.28793,0.61918,1.00000,0.34403,0.13021,0.13712,0.20044,0.55150,0.60430
hard_aggregate,minimum_intervention_boundary_learner_v5,0,576,0.49132,0.68445,0.05035,0.47032,0.18395,0.57078,1.00000,0.38101,0.00695,0.11132,0.11255,0.49551,0.69560
hard_aggregate,minimum_intervention_boundary_learner_v5,1,576,0.47570,0.67124,0.04861,0.46175,0.19707,0.55265,1.00000,0.37552,0.01389,0.12500,0.11979,0.50675,0.67448
hard_aggregate,minimum_intervention_boundary_learner_v5,2,576,0.52604,0.76900,0.05208,0.46118,0.18767,0.56138,1.00000,0.37515,0.00868,0.11513,0.10888,0.49395,0.74651
hard_aggregate,minimum_intervention_boundary_learner_v5,3,576,0.49653,0.70451,0.04514,0.45808,0.19603,0.56472,1.00000,0.37317,0.01910,0.12243,0.12304,0.50631,0.70463
hard_aggregate,minimum_intervention_boundary_learner_v5,4,576,0.48958,0.72256,0.04514,0.45412,0.19171,0.56835,1.00000,0.37063,0.01389,0.11398,0.12094,0.50107,0.70344
hard_aggregate,minimum_intervention_boundary_learner_v5,5,576,0.46007,0.65223,0.05903,0.46831,0.18431,0.55946,1.00000,0.37972,0.00521,0.11656,0.11870,0.49566,0.65183
hard_aggregate,minimum_intervention_boundary_learner_v5,6,576,0.47917,0.68404,0.03125,0.45114,0.18588,0.55895,1.00000,0.36873,0.00695,0.11428,0.11681,0.50004,0.69254
hard_aggregate,minimum_intervention_boundary_learner_v5,7,576,0.49653,0.70388,0.03472,0.45616,0.19173,0.55437,1.00000,0.37194,0.02083,0.12043,0.11386,0.50001,0.70782
hard_aggregate,minimum_intervention_boundary_learner_v5,8,576,0.49305,0.70371,0.05035,0.45397,0.19842,0.56270,1.00000,0.37054,0.01215,0.12383,0.12281,0.50374,0.69995
hard_aggregate,minimum_intervention_boundary_learner_v5,9,576,0.48785,0.69532,0.05209,0.46185,0.19440,0.55871,1.00000,0.37559,0.01736,0.11704,0.11542,0.50138,0.68967
hard_aggregate,minimum_intervention_learner_v4,0,576,0.52951,0.77156,0.07639,0.52174,0.17602,0.56353,1.00000,0.41391,0.12153,0.06257,0.09936,0.44600,0.70244
hard_aggregate,minimum_intervention_learner_v4,1,576,0.53646,0.77267,0.06771,0.51923,0.16633,0.54895,1.00000,0.41231,0.10590,0.06536,0.09981,0.44978,0.71688
hard_aggregate,minimum_intervention_learner_v4,2,576,0.50868,0.75379,0.04688,0.51485,0.16777,0.55420,1.00000,0.40951,0.11979,0.05894,0.09517,0.44221,0.69233
hard_aggregate,minimum_intervention_learner_v4,3,576,0.53299,0.78104,0.04340,0.51214,0.18247,0.56013,1.00000,0.40777,0.10938,0.06817,0.10592,0.45477,0.72883
hard_aggregate,minimum_intervention_learner_v4,4,576,0.54514,0.80567,0.04861,0.50411,0.19186,0.56578,1.00000,0.40263,0.12674,0.06787,0.10839,0.45468,0.73979
hard_aggregate,minimum_intervention_learner_v4,5,576,0.55382,0.80695,0.04688,0.51749,0.18077,0.55400,1.00000,0.41119,0.13021,0.06639,0.10473,0.44810,0.74643
hard_aggregate,minimum_intervention_learner_v4,6,576,0.53646,0.79938,0.05903,0.50152,0.18642,0.55546,1.00000,0.40097,0.10764,0.06704,0.10452,0.45204,0.72826
hard_aggregate,minimum_intervention_learner_v4,7,576,0.55208,0.80781,0.05382,0.50846,0.17300,0.55131,1.00000,0.40542,0.14236,0.06456,0.09812,0.44752,0.73775
hard_aggregate,minimum_intervention_learner_v4,8,576,0.55556,0.80795,0.04514,0.50604,0.17674,0.55582,1.00000,0.40387,0.15451,0.06906,0.10465,0.45143,0.74322
hard_aggregate,minimum_intervention_learner_v4,9,576,0.52257,0.77987,0.03646,0.51641,0.18062,0.56033,1.00000,0.41051,0.11805,0.06298,0.09933,0.45086,0.71904
hard_aggregate,no_human_baseline,0,576,0.11111,0.00000,0.04514,0.00000,1.00000,0.59864,0.00000,0.02000,0.07639,0.10473,0.50013,1.00000,0.19317
hard_aggregate,no_human_baseline,1,576,0.09028,0.00000,0.03472,0.00000,1.00000,0.59430,0.00000,0.02000,0.07292,0.10515,0.49712,1.00000,0.17816
hard_aggregate,no_human_baseline,2,576,0.14062,0.00000,0.05556,0.00000,1.00000,0.59916,0.00000,0.02000,0.09201,0.10542,0.49184,1.00000,0.21296
hard_aggregate,no_human_baseline,3,576,0.10417,0.00000,0.03299,0.00000,1.00000,0.59464,0.00000,0.02000,0.07812,0.10522,0.49899,1.00000,0.19154
hard_aggregate,no_human_baseline,4,576,0.11632,0.00000,0.04514,0.00000,1.00000,0.59551,0.00000,0.02000,0.06424,0.10433,0.49977,1.00000,0.20138
hard_aggregate,no_human_baseline,5,576,0.15104,0.00000,0.04167,0.00000,1.00000,0.59916,0.00000,0.02000,0.10069,0.10463,0.50443,1.00000,0.22817
hard_aggregate,no_human_baseline,6,576,0.13715,0.00000,0.06250,0.00000,1.00000,0.59343,0.00000,0.02000,0.06076,0.10466,0.49279,1.00000,0.21388
hard_aggregate,no_human_baseline,7,576,0.10938,0.00000,0.04340,0.00000,1.00000,0.59725,0.00000,0.02000,0.07986,0.10501,0.49185,1.00000,0.19119
hard_aggregate,no_human_baseline,8,576,0.11632,0.00000,0.05382,0.00000,1.00000,0.59604,0.00000,0.02000,0.06076,0.10418,0.49571,1.00000,0.19790
hard_aggregate,no_human_baseline,9,576,0.10764,0.00000,0.05382,0.00000,1.00000,0.59430,0.00000,0.02000,0.07813,0.10516,0.49247,1.00000,0.18413
hard_aggregate,oracle_minimal_correction,0,576,0.61111,0.86728,0.03125,0.49547,0.12651,0.57059,1.00000,0.39710,0.00694,0.35967,0.03159,0.47073,0.86356
hard_aggregate,oracle_minimal_correction,1,576,0.61285,0.86293,0.05208,0.49317,0.13115,0.55198,1.00000,0.39563,0.00868,0.36679,0.03284,0.47439,0.85085
hard_aggregate,oracle_minimal_correction,2,576,0.57986,0.84744,0.03299,0.48257,0.13024,0.56185,1.00000,0.38884,0.01041,0.36435,0.03200,0.47217,0.82538
hard_aggregate,oracle_minimal_correction,3,576,0.61111,0.87082,0.03646,0.49286,0.12494,0.56387,1.00000,0.39543,0.00347,0.36013,0.03232,0.47157,0.86185
hard_aggregate,oracle_minimal_correction,4,576,0.55903,0.81573,0.03993,0.48456,0.12179,0.56811,1.00000,0.39012,0.00868,0.35681,0.03183,0.46938,0.79506
hard_aggregate,oracle_minimal_correction,5,576,0.60069,0.85525,0.03820,0.49715,0.11510,0.55892,1.00000,0.39818,0.01042,0.35565,0.03203,0.46704,0.84417
hard_aggregate,oracle_minimal_correction,6,576,0.55382,0.79538,0.04861,0.48110,0.12876,0.55909,1.00000,0.38791,0.00521,0.36274,0.03237,0.47116,0.78085
hard_aggregate,oracle_minimal_correction,7,576,0.59028,0.84230,0.04687,0.48322,0.13195,0.55381,1.00000,0.38926,0.01042,0.36689,0.03200,0.47241,0.82639
hard_aggregate,oracle_minimal_correction,8,576,0.57465,0.82145,0.03820,0.48700,0.13036,0.56289,1.00000,0.39168,0.00521,0.36397,0.03212,0.47241,0.81322
hard_aggregate,oracle_minimal_correction,9,576,0.58854,0.84311,0.04340,0.48878,0.13078,0.55820,1.00000,0.39282,0.00694,0.36576,0.03243,0.47426,0.82811
hard_aggregate,preference_only_ranker,0,576,0.49306,0.69005,0.05556,0.42662,0.22914,0.54669,0.56771,0.21209,0.10417,0.10386,0.17416,0.53907,0.67529
hard_aggregate,preference_only_ranker,1,576,0.41146,0.56988,0.06250,0.41976,0.23513,0.53300,0.54340,0.19696,0.09896,0.11144,0.18124,0.54982,0.56454
hard_aggregate,preference_only_ranker,2,576,0.46528,0.67165,0.04861,0.41547,0.23214,0.53836,0.56423,0.20539,0.10417,0.10728,0.17360,0.54323,0.64651
hard_aggregate,preference_only_ranker,3,576,0.47743,0.67766,0.03993,0.41493,0.24506,0.54220,0.54514,0.19919,0.10938,0.11233,0.18596,0.55063,0.66418
hard_aggregate,preference_only_ranker,4,576,0.47049,0.64273,0.05556,0.40809,0.24116,0.54792,0.58333,0.20876,0.11458,0.11115,0.18326,0.55273,0.64039
hard_aggregate,preference_only_ranker,5,576,0.44271,0.62994,0.05382,0.42285,0.23713,0.53767,0.55382,0.20461,0.13021,0.11198,0.18143,0.54295,0.60469
hard_aggregate,preference_only_ranker,6,576,0.46007,0.67149,0.03820,0.40988,0.24327,0.53746,0.56424,0.20167,0.11285,0.10965,0.17653,0.54560,0.64441
hard_aggregate,preference_only_ranker,7,576,0.48958,0.69745,0.05555,0.41257,0.23994,0.53407,0.52604,0.19174,0.11111,0.10988,0.17659,0.54608,0.67112
hard_aggregate,preference_only_ranker,8,576,0.44792,0.64062,0.05555,0.41543,0.23691,0.53933,0.57118,0.20596,0.12673,0.10910,0.17811,0.54401,0.61252
hard_aggregate,preference_only_ranker,9,576,0.49132,0.68489,0.05209,0.42029,0.23920,0.54077,0.55035,0.20034,0.13889,0.10973,0.17652,0.54717,0.66466
hard_aggregate,residual_correction_learner,0,576,0.32292,0.38022,0.05556,0.34449,0.51657,0.57140,1.00000,0.30048,0.11111,0.24868,0.30902,0.61979,0.43832
hard_aggregate,residual_correction_learner,1,576,0.31077,0.35807,0.05556,0.33273,0.53951,0.55837,1.00000,0.29295,0.11111,0.26278,0.32171,0.63756,0.42082
hard_aggregate,residual_correction_learner,2,576,0.32118,0.37308,0.04861,0.34722,0.52789,0.54920,1.00000,0.30223,0.10417,0.24779,0.30528,0.61353,0.43729
