split,reference,metric,mean_diff,ci95_diff,lower95_diff,seeds
hard_aggregate,active_entropy_query_policy,task_success,0.06041,0.01288,0.04753,10
hard_aggregate,active_entropy_query_policy,correction_efficiency,0.11130,0.01851,0.09279,10
hard_aggregate,active_entropy_query_policy,damage,-0.00052,0.00749,-0.00801,10
hard_aggregate,active_entropy_query_policy,intervention_magnitude,0.06529,0.00225,0.06305,10
hard_aggregate,active_entropy_query_policy,boundary_error,-0.10401,0.00370,-0.10772,10
hard_aggregate,active_entropy_query_policy,intent_preservation,0.00588,0.00076,0.00512,10
hard_aggregate,active_entropy_query_policy,unsafe_override,-0.08906,0.00818,-0.09724,10
hard_aggregate,active_entropy_query_policy,robust_utility,0.10386,0.01729,0.08657,10
hard_aggregate,dagger_full_correction,task_success,0.14566,0.01755,0.12811,10
hard_aggregate,dagger_full_correction,correction_efficiency,0.32280,0.02395,0.29885,10
hard_aggregate,dagger_full_correction,damage,-0.00573,0.00735,-0.01308,10
hard_aggregate,dagger_full_correction,intervention_magnitude,0.03157,0.00523,0.02634,10
hard_aggregate,dagger_full_correction,boundary_error,-0.29951,0.00986,-0.30937,10
hard_aggregate,dagger_full_correction,intent_preservation,-0.01506,0.00290,-0.01796,10
hard_aggregate,dagger_full_correction,unsafe_override,-0.11701,0.00590,-0.12291,10
hard_aggregate,dagger_full_correction,robust_utility,0.26440,0.02412,0.24028,10
hard_aggregate,full_demo_imitation,task_success,0.16562,0.01309,0.15253,10
hard_aggregate,full_demo_imitation,correction_efficiency,0.35760,0.01923,0.33837,10
hard_aggregate,full_demo_imitation,damage,-0.02048,0.01041,-0.03089,10
hard_aggregate,full_demo_imitation,intervention_magnitude,-0.00146,0.00564,-0.00710,10
hard_aggregate,full_demo_imitation,boundary_error,-0.33479,0.00960,-0.34439,10
hard_aggregate,full_demo_imitation,intent_preservation,-0.02096,0.00324,-0.02420,10
hard_aggregate,full_demo_imitation,unsafe_override,-0.11736,0.00537,-0.12273,10
hard_aggregate,full_demo_imitation,robust_utility,0.30169,0.01900,0.28270,10
hard_aggregate,inverse_rl_correction_proxy,task_success,0.06076,0.01351,0.04726,10
hard_aggregate,inverse_rl_correction_proxy,correction_efficiency,0.13405,0.01990,0.11415,10
hard_aggregate,inverse_rl_correction_proxy,damage,0.00104,0.00542,-0.00438,10
hard_aggregate,inverse_rl_correction_proxy,intervention_magnitude,0.05203,0.00216,0.04988,10
hard_aggregate,inverse_rl_correction_proxy,boundary_error,-0.10064,0.00460,-0.10524,10
hard_aggregate,inverse_rl_correction_proxy,intent_preservation,-0.05502,0.00190,-0.05692,10
hard_aggregate,inverse_rl_correction_proxy,unsafe_override,-0.10764,0.00892,-0.11655,10
hard_aggregate,inverse_rl_correction_proxy,robust_utility,0.10855,0.01759,0.09096,10
hard_aggregate,minimum_intervention_learner_v4,task_success,-0.04774,0.01771,-0.06545,10
hard_aggregate,minimum_intervention_learner_v4,correction_efficiency,-0.08957,0.02669,-0.11627,10
hard_aggregate,minimum_intervention_learner_v4,damage,-0.00556,0.00998,-0.01553,10
hard_aggregate,minimum_intervention_learner_v4,intervention_magnitude,-0.05251,0.00155,-0.05406,10
hard_aggregate,minimum_intervention_learner_v4,boundary_error,0.01292,0.00634,0.00657,10
hard_aggregate,minimum_intervention_learner_v4,intent_preservation,0.00426,0.00167,0.00258,10
hard_aggregate,minimum_intervention_learner_v4,unsafe_override,-0.11111,0.00993,-0.12104,10
hard_aggregate,minimum_intervention_learner_v4,robust_utility,-0.02885,0.02284,-0.05169,10
hard_aggregate,no_human_baseline,task_success,0.37118,0.01603,0.35515,10
hard_aggregate,no_human_baseline,correction_efficiency,0.69909,0.01953,0.67956,10
hard_aggregate,no_human_baseline,damage,0.00000,0.00864,-0.00864,10
hard_aggregate,no_human_baseline,intervention_magnitude,0.45969,0.00387,0.45582,10
hard_aggregate,no_human_baseline,boundary_error,-0.80888,0.00334,-0.81222,10
hard_aggregate,no_human_baseline,intent_preservation,-0.03504,0.00344,-0.03848,10
hard_aggregate,no_human_baseline,unsafe_override,-0.06389,0.00925,-0.07314,10
hard_aggregate,no_human_baseline,robust_utility,0.49740,0.01830,0.47910,10
hard_aggregate,oracle_minimal_correction,task_success,-0.09861,0.01813,-0.11674,10
hard_aggregate,oracle_minimal_correction,correction_efficiency,-0.14308,0.02649,-0.16956,10
hard_aggregate,oracle_minimal_correction,damage,0.00608,0.00821,-0.00214,10
hard_aggregate,oracle_minimal_correction,intervention_magnitude,-0.02890,0.00244,-0.03134,10
hard_aggregate,oracle_minimal_correction,boundary_error,0.06396,0.00348,0.06048,10
hard_aggregate,oracle_minimal_correction,intent_preservation,0.00028,0.00027,0.00001,10
hard_aggregate,oracle_minimal_correction,unsafe_override,0.00486,0.00392,0.00094,10
hard_aggregate,oracle_minimal_correction,robust_utility,-0.13230,0.02485,-0.15715,10
hard_aggregate,preference_only_ranker,task_success,0.02465,0.01495,0.00970,10
hard_aggregate,preference_only_ranker,correction_efficiency,0.04146,0.02486,0.01660,10
hard_aggregate,preference_only_ranker,damage,-0.00486,0.00534,-0.01020,10
hard_aggregate,preference_only_ranker,intervention_magnitude,0.04310,0.00145,0.04165,10
hard_aggregate,preference_only_ranker,boundary_error,-0.04679,0.00369,-0.05049,10
hard_aggregate,preference_only_ranker,intent_preservation,0.02146,0.00117,0.02029,10
hard_aggregate,preference_only_ranker,unsafe_override,-0.10260,0.00854,-0.11114,10
hard_aggregate,preference_only_ranker,robust_utility,0.05782,0.01942,0.03839,10
hard_aggregate,residual_correction_learner,task_success,0.17187,0.01476,0.15711,10
hard_aggregate,residual_correction_learner,correction_efficiency,0.33185,0.02220,0.30964,10
hard_aggregate,residual_correction_learner,damage,-0.00660,0.00819,-0.01479,10
hard_aggregate,residual_correction_learner,intervention_magnitude,0.12492,0.00580,0.11912,10
hard_aggregate,residual_correction_learner,boundary_error,-0.34267,0.01053,-0.35320,10
hard_aggregate,residual_correction_learner,intent_preservation,0.00513,0.00440,0.00073,10
hard_aggregate,residual_correction_learner,unsafe_override,-0.10660,0.00734,-0.11393,10
hard_aggregate,residual_correction_learner,robust_utility,0.26890,0.02034,0.24856,10
hard_aggregate,robust_mpc_correction,task_success,-0.10052,0.01736,-0.11788,10
hard_aggregate,robust_mpc_correction,correction_efficiency,-0.18139,0.02805,-0.20944,10
hard_aggregate,robust_mpc_correction,damage,-0.00556,0.00519,-0.01075,10
hard_aggregate,robust_mpc_correction,intervention_magnitude,-0.07676,0.00239,-0.07915,10
hard_aggregate,robust_mpc_correction,boundary_error,0.08106,0.00294,0.07811,10
hard_aggregate,robust_mpc_correction,intent_preservation,0.02120,0.00033,0.02087,10
hard_aggregate,robust_mpc_correction,unsafe_override,-0.00816,0.00451,-0.01267,10
hard_aggregate,robust_mpc_correction,robust_utility,-0.12621,0.02376,-0.14997,10
hard_aggregate,safety_filtered_residual,task_success,0.14861,0.01599,0.13262,10
hard_aggregate,safety_filtered_residual,correction_efficiency,0.26811,0.02334,0.24477,10
hard_aggregate,safety_filtered_residual,damage,0.00243,0.00598,-0.00355,10
hard_aggregate,safety_filtered_residual,intervention_magnitude,0.15163,0.00370,0.14792,10
hard_aggregate,safety_filtered_residual,boundary_error,-0.24596,0.00682,-0.25277,10
hard_aggregate,safety_filtered_residual,intent_preservation,0.02554,0.00054,0.02500,10
hard_aggregate,safety_filtered_residual,unsafe_override,-0.00087,0.00479,-0.00566,10
hard_aggregate,safety_filtered_residual,robust_utility,0.19700,0.02185,0.17515,10
hard_aggregate,uncertainty_query_policy,task_success,0.10382,0.01702,0.08680,10
