split,ablation,seed,rows,task_success,correction_efficiency,damage,intervention_magnitude,boundary_error,intent_preservation,query_rate,human_time,unsafe_override,calibration_error,regret_to_oracle,intervention_sparsity,robust_utility
combined_hard_shift,all_corrections_imitation,0,168,0.36310,0.36676,0.05952,0.46965,0.51864,0.54662,1.00000,0.38058,0.03571,0.23503,0.28589,0.49895,0.48171
combined_hard_shift,all_corrections_imitation,1,168,0.40476,0.41515,0.07143,0.48994,0.48251,0.53487,1.00000,0.39356,0.07143,0.22091,0.28616,0.50658,0.51610
combined_hard_shift,all_corrections_imitation,2,168,0.34524,0.34797,0.05952,0.50364,0.46493,0.55146,1.00000,0.40233,0.05952,0.20448,0.25935,0.45937,0.45073
combined_hard_shift,all_corrections_imitation,3,168,0.32143,0.32207,0.06548,0.46436,0.49339,0.55509,1.00000,0.37719,0.07143,0.23300,0.29663,0.51032,0.41894
combined_hard_shift,all_corrections_imitation,4,168,0.30952,0.33917,0.04762,0.49532,0.48023,0.55440,1.00000,0.39700,0.04167,0.20582,0.26129,0.47876,0.42586
combined_hard_shift,all_corrections_imitation,5,168,0.29167,0.30369,0.07143,0.51585,0.48051,0.56216,1.00000,0.41014,0.05357,0.21177,0.28356,0.47405,0.38466
combined_hard_shift,all_corrections_imitation,6,168,0.35119,0.35794,0.04167,0.47623,0.47776,0.54937,1.00000,0.38479,0.06548,0.21963,0.28105,0.48158,0.46812
combined_hard_shift,all_corrections_imitation,7,168,0.32738,0.34762,0.05952,0.49625,0.44875,0.54258,1.00000,0.39760,0.03571,0.19851,0.25529,0.46076,0.43859
combined_hard_shift,all_corrections_imitation,8,168,0.32143,0.33842,0.05357,0.45589,0.53989,0.56012,1.00000,0.37177,0.05357,0.23457,0.29054,0.48820,0.43352
combined_hard_shift,all_corrections_imitation,9,168,0.36310,0.40492,0.04762,0.48532,0.46030,0.53796,1.00000,0.39060,0.04167,0.21211,0.27349,0.48517,0.49236
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,0,168,0.50000,0.66568,0.05357,0.47223,0.21090,0.51692,1.00000,0.38223,0.01190,0.12534,0.12443,0.51114,0.69082
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,1,168,0.44048,0.57080,0.02976,0.49767,0.19156,0.50992,1.00000,0.39851,0.01786,0.11661,0.13118,0.50457,0.61916
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,2,168,0.55357,0.74695,0.04167,0.48619,0.18450,0.52529,1.00000,0.39116,0.00595,0.10625,0.11075,0.49319,0.76991
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,3,168,0.48810,0.66507,0.06548,0.47763,0.20426,0.53227,1.00000,0.38568,0.01190,0.11947,0.12635,0.51237,0.67449
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,4,168,0.45833,0.65414,0.05357,0.47881,0.20577,0.51353,1.00000,0.38644,0.02381,0.11532,0.13503,0.50954,0.64257
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,5,168,0.42857,0.56474,0.06548,0.49776,0.19466,0.53474,1.00000,0.39857,0.01786,0.11037,0.13300,0.50294,0.59049
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,6,168,0.46429,0.62179,0.02381,0.47170,0.18724,0.51227,1.00000,0.38189,0.01190,0.11070,0.11529,0.49850,0.65970
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,7,168,0.48810,0.67271,0.04167,0.48028,0.19177,0.51353,1.00000,0.38738,0.02381,0.11034,0.11490,0.48946,0.68156
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,8,168,0.46429,0.67365,0.05952,0.45812,0.20497,0.52946,1.00000,0.37320,0.00595,0.12116,0.12985,0.50705,0.65726
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,9,168,0.47024,0.64850,0.04762,0.48053,0.19220,0.50510,1.00000,0.38754,0.01190,0.10628,0.12522,0.50243,0.65816
combined_hard_shift,minus_calibration,0,168,0.60714,0.82293,0.06548,0.47223,0.21090,0.51692,1.00000,0.38223,0.00595,0.23967,0.12443,0.51114,0.82803
combined_hard_shift,minus_calibration,1,168,0.44643,0.60589,0.05357,0.49767,0.19156,0.50992,1.00000,0.39851,0.01190,0.23198,0.13118,0.50457,0.62212
combined_hard_shift,minus_calibration,2,168,0.53571,0.72683,0.01786,0.48619,0.18450,0.52529,1.00000,0.39116,0.01786,0.21790,0.11075,0.49319,0.75667
combined_hard_shift,minus_calibration,3,168,0.42857,0.58586,0.02381,0.47763,0.20426,0.53227,1.00000,0.38568,0.03571,0.23291,0.12635,0.51237,0.61254
combined_hard_shift,minus_calibration,4,168,0.44048,0.61019,0.05952,0.47881,0.20577,0.51353,1.00000,0.38644,0.01786,0.24321,0.13503,0.50954,0.61361
combined_hard_shift,minus_calibration,5,168,0.49405,0.66977,0.04762,0.49776,0.19466,0.53474,1.00000,0.39857,0.02976,0.22426,0.13300,0.50294,0.68503
combined_hard_shift,minus_calibration,6,168,0.51786,0.72592,0.04167,0.47170,0.18724,0.51227,1.00000,0.38189,0.01786,0.23503,0.11529,0.49850,0.72523
combined_hard_shift,minus_calibration,7,168,0.49405,0.68894,0.05357,0.48028,0.19177,0.51353,1.00000,0.38738,0.00595,0.22061,0.11490,0.48946,0.68989
combined_hard_shift,minus_calibration,8,168,0.50595,0.69694,0.04762,0.45812,0.20497,0.52946,1.00000,0.37320,0.03571,0.24128,0.12985,0.50705,0.70191
combined_hard_shift,minus_calibration,9,168,0.50000,0.67014,0.05952,0.48053,0.19220,0.50510,1.00000,0.38754,0.01786,0.23292,0.12522,0.50243,0.68482
combined_hard_shift,minus_counterfactual_boundary,0,168,0.35119,0.45699,0.02976,0.42059,0.30104,0.52618,1.00000,0.34918,0.00595,0.17076,0.18174,0.56777,0.51566
combined_hard_shift,minus_counterfactual_boundary,1,168,0.48810,0.59802,0.07738,0.44837,0.28870,0.52532,1.00000,0.36696,0.00595,0.15595,0.18872,0.56101,0.65758
combined_hard_shift,minus_counterfactual_boundary,2,168,0.50595,0.65782,0.02381,0.42703,0.28516,0.53915,1.00000,0.35330,0.01190,0.14921,0.17573,0.56235,0.71727
combined_hard_shift,minus_counterfactual_boundary,3,168,0.45238,0.61170,0.01190,0.43664,0.27786,0.53624,1.00000,0.35945,0.00595,0.15103,0.17309,0.55333,0.66030
combined_hard_shift,minus_counterfactual_boundary,4,168,0.43452,0.55668,0.04167,0.41466,0.32976,0.52363,1.00000,0.34538,0.01786,0.17038,0.20496,0.57897,0.61181
combined_hard_shift,minus_counterfactual_boundary,5,168,0.37500,0.47287,0.05952,0.44936,0.29287,0.54633,1.00000,0.36759,0.02381,0.15781,0.19033,0.55379,0.52358
combined_hard_shift,minus_counterfactual_boundary,6,168,0.39881,0.52653,0.04762,0.43677,0.26230,0.51863,1.00000,0.35953,0.02976,0.14574,0.16059,0.53730,0.55966
combined_hard_shift,minus_counterfactual_boundary,7,168,0.45833,0.60171,0.02976,0.42703,0.28322,0.52157,1.00000,0.35330,0.01190,0.15641,0.17597,0.55120,0.65136
combined_hard_shift,minus_counterfactual_boundary,8,168,0.42857,0.59135,0.04167,0.40873,0.29496,0.53710,1.00000,0.34159,0.00595,0.16336,0.18262,0.56241,0.61791
combined_hard_shift,minus_counterfactual_boundary,9,168,0.45833,0.59414,0.04762,0.43240,0.29737,0.52041,1.00000,0.35673,0.01190,0.15780,0.18740,0.55947,0.64052
combined_hard_shift,minus_human_effort_cost,0,168,0.54167,0.74759,0.07738,0.53914,0.15181,0.51271,1.00000,0.42505,0.01190,0.09172,0.06968,0.44413,0.73230
combined_hard_shift,minus_human_effort_cost,1,168,0.54167,0.72705,0.05952,0.56199,0.14202,0.50567,1.00000,0.43967,0.01786,0.08339,0.07689,0.44015,0.73363
combined_hard_shift,minus_human_effort_cost,2,168,0.60714,0.83705,0.06548,0.54677,0.13451,0.52072,1.00000,0.42993,0.00595,0.07770,0.06354,0.43103,0.82548
combined_hard_shift,minus_human_effort_cost,3,168,0.48810,0.70378,0.04762,0.54814,0.16340,0.52774,1.00000,0.43081,0.04762,0.09318,0.07079,0.44315,0.67621
combined_hard_shift,minus_human_effort_cost,4,168,0.60119,0.83793,0.06548,0.54463,0.14155,0.50942,1.00000,0.42856,0.01190,0.07706,0.07317,0.44152,0.81717
combined_hard_shift,minus_human_effort_cost,5,168,0.51786,0.71974,0.04762,0.56403,0.13874,0.53046,1.00000,0.44098,0.00595,0.07925,0.07680,0.43637,0.72071
combined_hard_shift,minus_human_effort_cost,6,168,0.52381,0.74156,0.02976,0.53634,0.13358,0.50785,1.00000,0.42326,0.00595,0.08250,0.06511,0.43141,0.73835
combined_hard_shift,minus_human_effort_cost,7,168,0.59524,0.86748,0.05357,0.53718,0.13672,0.50908,1.00000,0.42379,0.00595,0.08190,0.06627,0.43049,0.82519
combined_hard_shift,minus_human_effort_cost,8,168,0.55357,0.81536,0.04167,0.52286,0.13720,0.52518,1.00000,0.41463,0.01786,0.08351,0.07148,0.44205,0.77800
combined_hard_shift,minus_human_effort_cost,9,168,0.53571,0.74432,0.05952,0.54682,0.13776,0.50041,1.00000,0.42997,0.01786,0.08469,0.06968,0.43465,0.73095
combined_hard_shift,minus_intent_preservation,0,168,0.39286,0.51351,0.06548,0.45762,0.22377,0.50231,1.00000,0.37288,0.00595,0.12943,0.13875,0.52547,0.54491
combined_hard_shift,minus_intent_preservation,1,168,0.40476,0.54876,0.02381,0.48287,0.20317,0.49507,1.00000,0.38903,0.00595,0.11998,0.14695,0.51871,0.58423
combined_hard_shift,minus_intent_preservation,2,168,0.48810,0.66895,0.05357,0.46986,0.19789,0.51107,1.00000,0.38071,0.02976,0.11160,0.12659,0.50917,0.67384
combined_hard_shift,minus_intent_preservation,3,168,0.54762,0.76081,0.06548,0.45869,0.22251,0.51910,1.00000,0.37356,0.00595,0.12790,0.14577,0.53118,0.75651
combined_hard_shift,minus_intent_preservation,4,168,0.48810,0.66232,0.03571,0.46267,0.22553,0.50067,1.00000,0.37611,0.01190,0.12526,0.15169,0.52735,0.68643
combined_hard_shift,minus_intent_preservation,5,168,0.47024,0.63273,0.02381,0.47890,0.21468,0.52135,1.00000,0.38650,0.01190,0.11932,0.15220,0.52242,0.67023
combined_hard_shift,minus_intent_preservation,6,168,0.51786,0.70651,0.05357,0.45612,0.20565,0.49903,1.00000,0.37192,0.02976,0.11543,0.13239,0.51570,0.71102
combined_hard_shift,minus_intent_preservation,7,168,0.39881,0.55601,0.07143,0.46613,0.19958,0.50099,1.00000,0.37832,0.02381,0.11593,0.12664,0.50397,0.55062
combined_hard_shift,minus_intent_preservation,8,168,0.48214,0.68157,0.03571,0.43987,0.22242,0.51603,1.00000,0.36152,0.01190,0.13147,0.14696,0.52659,0.68733
combined_hard_shift,minus_intent_preservation,9,168,0.51190,0.68000,0.04762,0.46647,0.20454,0.49180,1.00000,0.37854,0.00595,0.11539,0.14052,0.51706,0.70783
