split,ablation,metric,mean,ci95,seeds,rows_per_seed
combined_hard_shift,all_corrections_imitation,task_success,0.33988,0.02017,10,168
combined_hard_shift,all_corrections_imitation,correction_efficiency,0.35437,0.02127,10,168
combined_hard_shift,all_corrections_imitation,damage,0.05774,0.00628,10,168
combined_hard_shift,all_corrections_imitation,intervention_magnitude,0.48524,0.01158,10,168
combined_hard_shift,all_corrections_imitation,boundary_error,0.48469,0.01684,10,168
combined_hard_shift,all_corrections_imitation,intent_preservation,0.54946,0.00560,10,168
combined_hard_shift,all_corrections_imitation,query_rate,1.00000,0.00000,10,168
combined_hard_shift,all_corrections_imitation,human_time,0.39056,0.00741,10,168
combined_hard_shift,all_corrections_imitation,unsafe_override,0.05298,0.00860,10,168
combined_hard_shift,all_corrections_imitation,calibration_error,0.21758,0.00822,10,168
combined_hard_shift,all_corrections_imitation,regret_to_oracle,0.27732,0.00884,10,168
combined_hard_shift,all_corrections_imitation,intervention_sparsity,0.48437,0.01078,10,168
combined_hard_shift,all_corrections_imitation,robust_utility,0.45106,0.02419,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,task_success,0.47560,0.02168,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,correction_efficiency,0.64840,0.03285,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,damage,0.04821,0.00877,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,intervention_magnitude,0.48009,0.00740,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,boundary_error,0.19678,0.00555,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,intent_preservation,0.51930,0.00639,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,query_rate,1.00000,0.00000,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,human_time,0.38726,0.00473,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,unsafe_override,0.01428,0.00397,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,calibration_error,0.11418,0.00400,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,regret_to_oracle,0.12460,0.00517,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,intervention_sparsity,0.50312,0.00469,10,168
combined_hard_shift,full_minimum_intervention_boundary_learner_v5,robust_utility,0.66441,0.02945,10,168
combined_hard_shift,minus_calibration,task_success,0.49702,0.03241,10,168
combined_hard_shift,minus_calibration,correction_efficiency,0.68034,0.04360,10,168
combined_hard_shift,minus_calibration,damage,0.04702,0.00960,10,168
combined_hard_shift,minus_calibration,intervention_magnitude,0.48009,0.00740,10,168
combined_hard_shift,minus_calibration,boundary_error,0.19678,0.00555,10,168
combined_hard_shift,minus_calibration,intent_preservation,0.51930,0.00639,10,168
combined_hard_shift,minus_calibration,query_rate,1.00000,0.00000,10,168
combined_hard_shift,minus_calibration,human_time,0.38726,0.00473,10,168
combined_hard_shift,minus_calibration,unsafe_override,0.01964,0.00675,10,168
combined_hard_shift,minus_calibration,calibration_error,0.23198,0.00535,10,168
combined_hard_shift,minus_calibration,regret_to_oracle,0.12460,0.00517,10,168
combined_hard_shift,minus_calibration,intervention_sparsity,0.50312,0.00469,10,168
combined_hard_shift,minus_calibration,robust_utility,0.69198,0.04200,10,168
combined_hard_shift,minus_counterfactual_boundary,task_success,0.43512,0.03010,10,168
combined_hard_shift,minus_counterfactual_boundary,correction_efficiency,0.56678,0.03944,10,168
combined_hard_shift,minus_counterfactual_boundary,damage,0.04107,0.01160,10,168
combined_hard_shift,minus_counterfactual_boundary,intervention_magnitude,0.43016,0.00827,10,168
combined_hard_shift,minus_counterfactual_boundary,boundary_error,0.29132,0.01085,10,168
combined_hard_shift,minus_counterfactual_boundary,intent_preservation,0.52946,0.00587,10,168
combined_hard_shift,minus_counterfactual_boundary,query_rate,1.00000,0.00000,10,168
combined_hard_shift,minus_counterfactual_boundary,human_time,0.35530,0.00529,10,168
combined_hard_shift,minus_counterfactual_boundary,unsafe_override,0.01309,0.00516,10,168
combined_hard_shift,minus_counterfactual_boundary,calibration_error,0.15784,0.00518,10,168
combined_hard_shift,minus_counterfactual_boundary,regret_to_oracle,0.18211,0.00741,10,168
combined_hard_shift,minus_counterfactual_boundary,intervention_sparsity,0.55876,0.00683,10,168
combined_hard_shift,minus_counterfactual_boundary,robust_utility,0.61557,0.04006,10,168
combined_hard_shift,minus_human_effort_cost,task_success,0.55060,0.02430,10,168
combined_hard_shift,minus_human_effort_cost,correction_efficiency,0.77419,0.03651,10,168
combined_hard_shift,minus_human_effort_cost,damage,0.05476,0.00848,10,168
combined_hard_shift,minus_human_effort_cost,intervention_magnitude,0.54479,0.00753,10,168
combined_hard_shift,minus_human_effort_cost,boundary_error,0.14173,0.00570,10,168
combined_hard_shift,minus_human_effort_cost,intent_preservation,0.51492,0.00640,10,168
combined_hard_shift,minus_human_effort_cost,query_rate,1.00000,0.00000,10,168
combined_hard_shift,minus_human_effort_cost,human_time,0.42866,0.00482,10,168
