stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6919,0.0156
0.0,conformal_risk_filter,0.7138,0.0115
0.0,proposed_branch_mechanism,0.7595,0.0158
0.0,oracle_branch_upper_bound,0.8183,0.0110
0.2,scalar_uncertainty_planner,0.6305,0.0189
0.2,conformal_risk_filter,0.6652,0.0165
0.2,proposed_branch_mechanism,0.7290,0.0177
0.2,oracle_branch_upper_bound,0.7993,0.0131
0.4,scalar_uncertainty_planner,0.5738,0.0167
0.4,conformal_risk_filter,0.6229,0.0191
0.4,proposed_branch_mechanism,0.6948,0.0179
0.4,oracle_branch_upper_bound,0.7743,0.0165
0.6,scalar_uncertainty_planner,0.5214,0.0162
0.6,conformal_risk_filter,0.5738,0.0192
0.6,proposed_branch_mechanism,0.6652,0.0197
0.6,oracle_branch_upper_bound,0.7514,0.0171
0.8,scalar_uncertainty_planner,0.4626,0.0119
0.8,conformal_risk_filter,0.5319,0.0162
0.8,proposed_branch_mechanism,0.6350,0.0195
0.8,oracle_branch_upper_bound,0.7305,0.0178
1.0,scalar_uncertainty_planner,0.4060,0.0126
1.0,conformal_risk_filter,0.4867,0.0166
1.0,proposed_branch_mechanism,0.6067,0.0210
1.0,oracle_branch_upper_bound,0.7064,0.0173
