uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1002/aisy.202100047,Interactive Force Control Based on Multimodal Robot Skin for Physical Human−Robot Collaboration,"This work proposes and realizes a control architecture that can support the deployment of a large‐scale robot skin in a Human‐Robot Collaboration scenario. It is shown, how whole‐body tactile feedback can extend the capabilities of robots during dynamic interactions by providing information about multiple contacts across the robot's surface. Specifically, an uncalibrated skin system is used to implement stable force control while simultaneously handling the multi‐contact interactions of a user. The system formulates control tasks for force control, tactile guidance, collision avoidance, and compliance, and fuses them with a multi‐priority redundancy resolution strategy. The approach is evaluated on an omnidirectional mobile‐manipulator with dual arms covered with robot skin. Results are assessed under dynamic conditions, showing that multi‐modal tactile information enables robust force c",2022,Advanced Intelligent Systems,Simon Armleder; Emmanuel Dean-Leon; Florian Bergner; Gordon Cheng,10.1002/aisy.202100047,,https://doi.org/10.1002/aisy.202100047,crossref,hybrid systems robot control manipulation,anti_myopia,control,,25,force control; hybrid systems; deployment,2026-06-12T15:07:36Z,20.579,24.579
doi:10.1109/tcst.2024.3423548,Human-Robot Interactive Skill Learning and Correction for Polishing Based on Dynamic Time Warping Iterative Learning Control,,2024,IEEE Transactions on Control Systems Technology,Ruiqing Zhang; Jingkang Xia; Junjie Ma; Deqing Huang; Xin Zhang; Yanan Li,10.1109/tcst.2024.3423548,,https://doi.org/10.1109/tcst.2024.3423548,crossref,control barrier functions robot learning,anti_myopia,control,,6,control barrier function; skill learning,2026-06-12T15:07:36Z,19.973,22.973
doi:10.3390/s25061855,Large Language Model-Driven 3D Hyper-Realistic Interactive Intelligent Digital Human System,"Digital technologies are undergoing comprehensive integration across diverse domains and processes of the human economy, politics, culture, society, and ecological civilization. This integration brings forth novel concepts, formats, and models. In the context of the accelerated convergence between the digital and physical worlds, a discreet yet momentous transformation is being steered by artificial intelligence generated content (AIGC). This transformative force quietly reshapes and potentially disrupts the established patterns of digital content production and consumption. Consequently, it holds the potential to significantly enhance the digital lives of individuals and stands as an indispensable impetus for the comprehensive transition towards a new era of digital civilization in the future. This paper presents our award-winning project, a large language model (LLM)-powered 3D hyper-r",2025,Sensors,Yanying Song; Wei Xiong,10.3390/s25061855,,https://doi.org/10.3390/s25061855,crossref,large language model limitation robot planning,anti_myopia,anti_thesis,,13,limitation; large language model limitation robot planning,2026-06-12T15:07:36Z,18.220,22.220
doi:10.3389/frobt.2022.1019523,Towards understanding and synthesis of contact-rich anthropomorphic motions through interactive cyber-physical human,"This article presents perspective on the research challenge of understanding and synthesizing anthropomorphic whole-body contact motions through a platform called “interactive cyber-physical human (iCPH)” for data collection and augmentation. The iCPH platform combines humanoid robots as “physical twins” of human and “digital twins” that simulates humans and robots in cyber-space. Several critical research topics are introduced to address this challenge by leveraging the advanced model-based analysis together with data-driven learning to exploit collected data from the integrated platform of iCPH. Definition of general description is identified as the first topic as a common basis of contact motions compatible to both humans and humanoids. Then, we set continual learning of a feasible contact motion network as the second challenge by benefiting from model-based approach and machine learn",2022,Frontiers in Robotics and AI,Eiichi Yoshida,10.3389/frobt.2022.1019523,,https://doi.org/10.3389/frobt.2022.1019523,crossref,contact dynamics robot learning,concept,contact,,3,humanoid robot; contact dynamics; continual learning,2026-06-12T15:07:36Z,22.093,22.093
doi:10.70777/si.v2i2.14689,Review: Large Language Model-Powered AI Systems Achieve Self-Replication with No Human Intervention,"Self-replication with no human intervention is broadly recognized as one of the principal red lines associated with frontier AI systems. While leading corporations such as OpenAI and Google DeepMind have assessed GPT-o3-mini and Gemini on replication-related tasks and concluded that these systems pose a minimal risk regarding self-replication, our research presents novel findings. Following the same evaluation protocol, we demonstrate that 11 out of 32 existing AI systems under evaluation already possess the capability of self-replication. In hundreds of experimental trials, we observe a non-trivial number of successful self-replication trials across mainstream model families worldwide, even including those with as small as 14 billion parameters which can run on personal computers. Furthermore, we note the increase in self-replication capability when the model becomes more intelligent in",2025,SuperIntelligence - Robotics - Safety & Alignment,Kristen Carlson,10.70777/si.v2i2.14689,,https://doi.org/10.70777/si.v2i2.14689,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation,2026-06-12T15:07:36Z,15.300,21.300
doi:10.70777/si.v2i2.14607,Review: Large language Model-Powered AI Systems Achieve Self-Replication with No Human Intervention,"Self-replication with no human intervention is broadly recognized as one of the principal red lines associated with frontier AI systems. While leading corporations such as OpenAI and Google DeepMind have assessed GPT-o3-mini and Gemini on replication-related tasks and concluded that these systems pose a minimal risk regarding self-replication, our research presents novel findings. Following the same evaluation protocol, we demonstrate that 11 out of 32 existing AI systems under evaluation already possess the capability of self-replication. In hundreds of experimental trials, we observe a non-trivial number of successful self-replication trials across mainstream model families worldwide, even including those with as small as 14 billion parameters which can run on personal computers. Furthermore, we note the increase in self-replication capability when the model becomes more intelligent in",2025,SuperIntelligence - Robotics - Safety & Alignment,Kristen W Carlson,10.70777/si.v2i2.14607,,https://doi.org/10.70777/si.v2i2.14607,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation,2026-06-12T15:07:36Z,15.300,21.300
doi:10.1109/ro-man63969.2025.11217747,Integrating Perceptions: A Human-Centered Physical Safety Model for Human-Robot Interaction,,2025,2025 34th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),Pranav Pandey; Ramviyas Parasuraman; Prashant Doshi,10.1109/ro-man63969.2025.11217747,,https://doi.org/10.1109/ro-man63969.2025.11217747,crossref,robot foundation model failure mode,hostile,failure,,3,robot foundation model; human robot interaction; failure mode,2026-06-12T15:07:36Z,17.293,21.293
doi:10.21203/rs.3.rs-9398282/v1,Toward Zero-Human-Intervention Autonomous Robot Learning: A Continuous Result-Driven Self-Reward and Correction Framework,"Abstract Autonomous robots operating in complex real-world environments require the ability to continuously improve their behavior without human-provided reward annotation or online intervention. However, robot actions often produce delayed and multi-factor consequences, making it difficult to correctly associate later outcomes with earlier actions and to perform reliable autonomous self-reward and self-correction. In this paper, we propose a continuous result-driven self-reward and correction framework for autonomous robots. The framework enables robots to collect full-process behavioral, environmental, and internal reasoning records, perform delayed outcome discovery and temporal backtracking, generate unified internal--external self-reward signals, and revise earlier reward judgments when later evidence reveals them to be incomplete or incorrect. It also supports self-intervention for",,,Hong Su,10.21203/rs.3.rs-9398282/v1,,https://doi.org/10.21203/rs.3.rs-9398282/v1,crossref,online adaptation robot learning,concept,adaptation,,,online adaptation,2026-06-12T15:07:36Z,20.000,21.000
doi:10.3390/app132011219,Variable Admittance Control in Sliding Mode for Robust Physical Human–Robot Interaction,"Intuitive and comfortable physical human–robot interaction (pHRI) can be realized by changing impedance/admittance parameters corresponding to human interaction. However, this dynamic adjustment may result in drastically changed system dynamics, which usually give rise to system instability. We introduce a power envelope regulation strategy designed to constrain the variability of admittance parameters, thereby ensuring system passivity and mitigating the risk of instability. Then, sliding mode control (SMC) is employed to yield stable and robust performance. A new sliding surface is proposed based on feedback linearization, which shows improved tracking performance and stability compared to a conventional sliding surface. The effectiveness of the proposed sliding surface and associated control is theoretically validated. Notably, our modified sliding surface works universally, regardles",2023,Applied Sciences,Jingdong Chen; Paul I. Ro,10.3390/app132011219,,https://doi.org/10.3390/app132011219,crossref,robot foundation model failure mode,hostile,failure,,6,robot foundation model; human robot interaction; failure mode; robustness,2026-06-12T15:07:36Z,15.873,20.873
doi:10.3390/s24134113,DriveLLaVA: Human-Level Behavior Decisions via Vision Language Model,"Human-level driving is the ultimate goal of autonomous driving. As the top-level decision-making aspect of autonomous driving, behavior decision establishes short-term driving behavior strategies by evaluating road structures, adhering to traffic rules, and analyzing the intentions of other traffic participants. Existing behavior decisions are primarily implemented based on rule-based methods, exhibiting insufficient generalization capabilities when faced with new and unseen driving scenarios. In this paper, we propose a novel behavior decision method that leverages the inherent generalization and commonsense reasoning abilities of visual language models (VLMs) to learn and simulate the behavior decision process in human driving. We constructed a novel instruction-following dataset containing a large number of image–text instructions paired with corresponding driving behavior labels, to ",2024,Sensors,Rui Zhao; Qirui Yuan; Jinyu Li; Yuze Fan; Yun Li; Fei Gao,10.3390/s24134113,,https://doi.org/10.3390/s24134113,crossref,vision language action model limitation robotics,hostile,failure,,15,vision language action model; limitation; generalization; robustness,2026-06-12T15:07:36Z,13.486,20.486
